gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition,homeTeamPointsFor,homeTeamPointsAgainst,homeTeamPercentage,awayTeamPointsFor,awayTeamPointsAgainst,awayTeamPercentage,homeCurrentLadderPosition,awayCurrentLadderPosition,homeBreak,awayBreak
2014R101,2014,1,2014-03-14,Docklands,7:50 PM,37571,Collingwood,46,Fremantle,116,0.0,0,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,0,0,0.0,0,0,0.0,6,3,7,7
2014R102,2014,1,2014-03-15,Sydney Showground,4:40 PM,17102,Greater Western Sydney,99,Sydney,67,0.0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4,0,0,0.0,0,0,0.0,18,4,7,7
2014R103,2014,1,2014-03-15,Carrara,6:55 PM,19425,Gold Coast,87,Richmond,69,0.4,2,1,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,5,0,0,0.0,0,0,0.0,14,5,7,7
2014R104,2014,1,2014-03-16,Docklands,7:40 PM,24640,Carlton,87,Port Adelaide,120,7.2,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7,0,0,0.0,0,0,0.0,8,7,7,7
2014R105,2014,1,2014-03-20,Kardinia Park,7:10 PM,23622,Geelong,119,Adelaide,81,0.0,2,0,1,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,11,0,0,0.0,0,0,0.0,2,11,7,7
2014R106,2014,1,2014-03-21,Docklands,7:50 PM,42332,North Melbourne,60,Essendon,99,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,9,0,0,0.0,0,0,0.0,10,9,7,7
2014R107,2014,1,2014-03-22,York Park,4:40 PM,12430,Hawthorn,139,Brisbane Lions,91,27.2,2,1,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,0,0,0.0,0,0,0.0,1,12,7,7
2014R108,2014,1,2014-03-22,Docklands,7:40 PM,31657,St Kilda,68,Melbourne,51,3.8,2,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,17,0,0,0.0,0,0,0.0,16,17,7,7
2014R109,2014,1,2014-03-23,Subiaco,4:40 PM,36752,West Coast,134,Western Bulldogs,69,0.0,2,0,1,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,15,0,0,0.0,0,0,0.0,13,15,7,7
2014R201,2014,2,2014-03-27,M.C.G.,7:45 PM,62037,Richmond,98,Carlton,86,5.2,2,0,0,0,0,2,4,-41,230,-22.30555555555556,-37.50277777777778,70.54545454545455,60.25,70.98181818181818,67.48977272727274,71.37021103896103,66.45298684900958,5,8,69,87,79.31034483,87,120,72.5,10,12,12,11
2014R202,2014,2,2014-03-28,Docklands,7:50 PM,44163,Essendon,86,Hawthorn,90,8.2,0,1,1,0,0,0,2,0,124,0.0,-58.97222222222222,67.63636363636364,77.25,76.30000000000001,73.92045454545455,78.66722582972584,75.45218089990817,9,1,99,60,165.0,139,91,152.7472527,3,4,7,6
