gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition,homeTeamPointsFor,homeTeamPointsAgainst,homeTeamPercentage,awayTeamPointsFor,awayTeamPointsAgainst,awayTeamPercentage,homeCurrentLadderPosition,awayCurrentLadderPosition,homeBreak,awayBreak,homePreviousRainfall,awayPreviousRainfall
2017R101,2017,1,23/03/2017,M.C.G.,19:20:00,73137,Carlton,89,Richmond,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,14,13,7,7,0,0
2017R102,2017,1,24/03/2017,M.C.G.,19:50:00,66254,Collingwood,86,Western Bulldogs,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,12,7,7,7,0,0
2017R103,2017,1,25/03/2017,Docklands,16:35:00,36249,St Kilda,90,Melbourne,120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,9,11,7,7,0,0
2017R104,2017,1,25/03/2017,S.C.G.,16:35:00,33129,Sydney,82,Port Adelaide,110,1.6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,10,7,7,0,0
2017R105,2017,1,25/03/2017,M.C.G.,19:25:00,78294,Essendon,116,Hawthorn,91,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,18,3,7,7,0,0
2017R106,2017,1,25/03/2017,Carrara,19:05:00,12710,Gold Coast,96,Brisbane Lions,98,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,0,0,0,0,0,0,15,17,7,7,0,0
2017R107,2017,1,26/03/2017,Docklands,13:10:00,21997,North Melbourne,93,West Coast,136,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,8,6,7,7,0,0
2017R108,2017,1,26/03/2017,Adelaide Oval,14:45:00,43993,Adelaide,147,Greater Western Sydney,91,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,5,4,7,7,0,0
2017R109,2017,1,26/03/2017,Subiaco,16:40:00,34638,Fremantle,73,Geelong,115,2.2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,16,2,7,7,0,0
2017R201,2017,2,30/03/2017,M.C.G.,19:20:00,58236,Richmond,99,Collingwood,80,2.8,1,1,0,0,0,3,2,111,120,-48.3912037,-68.75,72.86363636,74.79545455,73.21931818,76.42045455,74.66205808,77.91475469,13,12,132,89,148.3146067,86,100,86,3,11,7,6,0,0
2017R202,2017,2,31/03/2017,Docklands,19:50:00,42834,Western Bulldogs,110,Sydney,87,2.8,1,1,0,2,0,2,4,203,127,-88.5,-31.59166667,69.95454545,56.72727273,74.38977273,65.20909091,74.93337843,65.22651515,7,1,100,86,116.2790698,82,110,74.54545455,8,14,7,6,0,1.6
2017R203,2017,2,1/04/2017,M.C.G.,13:45:00,37420,Hawthorn,89,Adelaide,113,0,0,0,1,2,0,4,1,-36,-90,-50.13541667,-77,69.29545455,68.56818182,70.81401515,73.52727273,69.98390152,74.09393038,3,5,91,116,78.44827586,147,91,161.5384615,12,1,7,6,0,0
2017R204,2017,2,1/04/2017,Sydney Showground,16:35:00,8022,Greater Western Sydney,160,Gold Coast,58,0,1,0,0,2,0,3,2,67,48,-38.55555556,-71.59166667,65.22727273,65.13636364,71.11818182,73.67613636,71.04707792,74.13479519,4,15,91,147,61.9047619,96,98,97.95918367,18,10,6,7,0,6.6
2017R205,2017,2,1/04/2017,Gabba,18:25:00,21749,Brisbane Lions,84,Essendon,111,0.2,0,1,1,3,0,1,1,-38,-36,0,-55,71.72727273,74.34090909,66.55530303,77.39621212,67.61357323,77.69834055,17,18,98,96,102.0833333,116,91,127.4725275,9,7,7,7,6.6,0
2017R206,2017,2,1/04/2017,Subiaco,16:40:00,37749,West Coast,116,St Kilda,97,0,1,1,0,3,0,3,3,479,185,-52.60582011,-72.48611111,73.15909091,71.5,71.87992424,73.15681818,73.6899982,73.05194805,6,9,136,93,146.2365591,90,120,75,4,13,6,7,0,0
2017R207,2017,2,2/04/2017,Docklands,13:10:00,30917,Geelong,112,North Melbourne,111,0.2,1,1,0,0,1,1,4,-13,139,-60.25,-70.83159722,79.59090909,70.54545455,77.51590909,71.72613636,77.72215909,69.65477994,2,8,115,73,157.5342466,93,136,68.38235294,2,15,7,7,2.2,0
2017R208,2017,2,2/04/2017,M.C.G.,15:20:00,46727,Melbourne,86,Carlton,64,0.2,1,1,0,0,0,2,0,95,0,-80.04761905,0,73.72727273,58.86363636,76.19318182,69.20909091,77.63339646,70.5163961,11,14,120,90,133.3333333,89,132,67.42424242,6,16,8,10,0,0
2017R209,2017,2,2/04/2017,Adelaide Oval,16:10:00,38388,Port Adelaide,145,Fremantle,56,0,1,1,0,3,0,1,0,72,0,-53.95,0,66.5,65.86363636,72.26212121,72.09318182,72.16893201,70.21050685,10,16,110,82,134.1463415,73,115,63.47826087,5,17,8,7,1.6,2.2
2017R301,2017,3,7/04/2017,S.C.G.,19:50:00,35310,Sydney,79,Collingwood,80,0,0,0,0,2,0,3,2,279,-90,26.75,7.845833333,72.11363636,74.09090909,65.975,76.62159091,66.2583042,76.96120269,1,12,169,220,76.81818182,166,199,83.41708543,15,11,7,8,2.8,2.8
2017R302,2017,3,8/04/2017,Bellerive Oval,13:45:00,8758,North Melbourne,67,Greater Western Sydney,109,0,0,0,1,3,2,3,1,28,4,-12.85631313,-3.692307692,80.27272727,64.47727273,75.59545455,72.23181818,73.33888328,74.60457875,8,4,204,248,82.25806452,251,205,122.4390244,12,9,6,7,0.2,0
2017R303,2017,3,8/04/2017,M.C.G.,14:10:00,42523,Richmond,76,West Coast,65,0,1,1,1,4,0,2,1,216,-101,19.10357143,25.55555556,72.06818182,72.90909091,75.84318182,71.69090909,75.05095208,74.50948635,13,6,231,169,136.6863905,252,190,132.6315789,3,5,9,7,2.8,0
2017R304,2017,3,8/04/2017,Docklands,16:35:00,29733,Geelong,126,Melbourne,97,0,1,1,1,0,1,4,3,-26,93,-10.22012363,37.63611111,76.22727273,67.56818182,80.28181818,67.28712121,77.80944926,71.42041027,2,11,227,184,123.3695652,206,154,133.7662338,7,4,6,6,0.2,0.2
