gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition,homeTeamPointsFor,homeTeamPointsAgainst,homeTeamPercentage,awayTeamPointsFor,awayTeamPointsAgainst,awayTeamPercentage,homeCurrentLadderPosition,awayCurrentLadderPosition
2019R101,2019,1,21/03/2019,M.C.G.,7:25 PM,85016,Carlton,64,Richmond,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,18,1
2019R102,2019,1,22/03/2019,M.C.G.,7:50 PM,78017,Collingwood,65,Geelong,72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,3,8
2019R103,2019,1,23/03/2019,M.C.G.,1:45 PM,38866,Melbourne,61,Port Adelaide,87,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,5,10
2019R104,2019,1,23/03/2019,Adelaide Oval,4:05 PM,50180,Adelaide,55,Hawthorn,87,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,12,4
2019R105,2019,1,23/03/2019,Docklands,7:25 PM,32303,Western Bulldogs,82,Sydney,65,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,13,6
2019R106,2019,1,23/03/2019,Gabba,7:20 PM,20029,Brisbane Lions,102,West Coast,58,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,15,2
2019R107,2019,1,24/03/2019,Docklands,1:10 PM,20291,St Kilda,85,Gold Coast,84,1.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,0,0,0,0,0,0,16,17
2019R108,2019,1,24/03/2019,Sydney Showground,3:20 PM,15424,Greater Western Sydney,112,Essendon,40,0.6,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,7,11
2019R109,2019,1,24/03/2019,Perth Stadium,3:20 PM,40033,Fremantle,141,North Melbourne,59,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,14,9
2019R201,2019,2,28/03/2019,M.C.G.,7:20 PM,70699,Richmond,66,Collingwood,110,0,0,1,0,0,0,3,1,164,-122,-51.76851852,-70,72.77272727,73.43181818,73.59090909,76.49886364,71.53938492,76.02455808,1,3,97,64,151.5625,65,72,90.27777778,5,11
2019R202,2019,2,29/03/2019,S.C.G.,7:50 PM,32575,Sydney,62,Adelaide,88,0,0,0,0,2,0,2,2,239,87,-57.40972222,-57.84722222,66.15909091,68.11363636,73.53219697,74.00871212,75.35505051,74.34917929,6,12,65,82,79.26829268,55,87,63.2183908,12,15
2019R203,2019,2,30/03/2019,Docklands,4:35 PM,44252,Essendon,65,St Kilda,76,2.2,0,0,1,0,0,1,3,-52,-216,-91.77777778,-78.21759259,70.63636364,71.27272727,72.075,74.02727273,70.57547799,74.92517136,11,16,40,112,35.71428571,85,84,101.1904762,18,9
2019R204,2019,2,30/03/2019,Adelaide Oval,4:40 PM,41552,Port Adelaide,88,Carlton,72,1.8,2,1,0,2,0,0,1,0,3,0,0,76.29545455,68.72727273,78.79772727,70.27045455,79.32113095,68.72770563,10,18,87,61,142.6229508,64,97,65.97938144,6,14
