gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2016R101,2016,1,24-Mar-16,M.C.G.,7:20 PM,75706,Richmond,92,Carlton,83,0.0
2016R102,2016,1,26-Mar-16,M.C.G.,1:40 PM,28505,Melbourne,80,Greater Western Sydney,78,0.4
2016R103,2016,1,26-Mar-16,Carrara,3:35 PM,16239,Gold Coast,121,Essendon,60,0.0
2016R104,2016,1,26-Mar-16,Docklands,7:25 PM,25485,North Melbourne,107,Adelaide,97,0.4
2016R105,2016,1,26-Mar-16,S.C.G.,7:25 PM,33857,Sydney,133,Collingwood,53,0.2
2016R106,2016,1,27-Mar-16,Docklands,1:10 PM,27832,Western Bulldogs,103,Fremantle,38,1.4
2016R107,2016,1,27-Mar-16,Adelaide Oval,2:50 PM,42896,Port Adelaide,133,St Kilda,100,0.0
2016R108,2016,1,27-Mar-16,Subiaco,4:40 PM,35201,West Coast,166,Brisbane Lions,102,6.6
2016R109,2016,1,28-Mar-16,M.C.G.,3:20 PM,74218,Geelong,116,Hawthorn,86,0.0
2016R201,2016,2,1-Apr-16,M.C.G.,7:50 PM,72761,Collingwood,87,Richmond,86,0.0
2016R202,2016,2,2-Apr-16,Adelaide Oval,1:15 PM,50555,Adelaide,144,Port Adelaide,86,0.0
2016R203,2016,2,2-Apr-16,M.C.G.,2:10 PM,50424,Essendon,80,Melbourne,67,0.0
2016R204,2016,2,2-Apr-16,Gabba,3:35 PM,18021,Brisbane Lions,83,North Melbourne,117,0.0
2016R205,2016,2,2-Apr-16,Docklands,7:25 PM,37353,St Kilda,36,Western Bulldogs,93,0.0
2016R206,2016,2,2-Apr-16,Subiaco,4:40 PM,34208,Fremantle,100,Gold Coast,126,0.0
2016R207,2016,2,3-Apr-16,Manuka Oval,1:10 PM,13656,Greater Western Sydney,89,Geelong,76,0.0
2016R208,2016,2,3-Apr-16,M.C.G.,3:20 PM,42977,Hawthorn,99,West Coast,53,0.0
2016R209,2016,2,3-Apr-16,Docklands,4:40 PM,33146,Carlton,71,Sydney,131,0.0
2016R301,2016,3,8-Apr-16,Adelaide Oval,7:20 PM,43663,Port Adelaide,112,Essendon,51,0.0
2016R302,2016,3,9-Apr-16,M.C.G.,1:45 PM,50903,St Kilda,119,Collingwood,90,0.0
2016R303,2016,3,9-Apr-16,Docklands,2:10 PM,29951,Richmond,92,Adelaide,128,0.0
2016R304,2016,3,9-Apr-16,S.C.G.,4:35 PM,37045,Sydney,93,Greater Western Sydney,68,0.4
2016R305,2016,3,9-Apr-16,Carrara,7:25 PM,13885,Gold Coast,95,Carlton,41,0.0
2016R306,2016,3,9-Apr-16,Subiaco,5:40 PM,40555,West Coast,92,Fremantle,59,0.0
2016R307,2016,3,10-Apr-16,Bellerive Oval,1:10 PM,12607,North Melbourne,136,Melbourne,131,0.0
