gameId,team,year,round,playerId,displayName,gameNumber,Disposals,Kicks,Marks,Handballs,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50s,Clearances,Clangers,Frees,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists,% Played,Subs
2015R107,Adelaide,2015,R1,2005667052,Betts. Eddie,207,21,15,8,6,4,0,0,7,1,4,2,2,0,1,1,7,15,0,3,1,6,2,92,-
2015R107,Adelaide,2015,R1,2012662083,Brown. Luke,47,8,5,3,3,0,0,0,2,1,0,0,0,2,0,0,4,4,0,0,2,1,0,46,Off
2015R107,Adelaide,2015,R1,2014678070,Cameron. Charlie,8,11,11,5,0,1,3,0,1,0,5,0,2,0,0,0,2,9,0,1,0,0,1,85,-
2015R107,Adelaide,2015,R1,2009675555,Cheney. Kyle,42,14,11,7,3,0,0,0,3,3,1,1,1,1,0,0,6,8,2,0,3,1,0,99,-
2015R107,Adelaide,2015,R1,2008681760,Dangerfield. Patrick,132,25,15,2,10,2,0,0,4,0,5,6,4,0,2,2,16,9,1,1,1,0,2,82,-
2015R107,Adelaide,2015,R1,2006687579,Douglas. Richard,156,31,22,5,9,0,0,0,3,3,7,9,9,0,3,0,15,17,0,0,0,0,2,88,-
2015R107,Adelaide,2015,R1,2014697406,Ellis-Yolmen. Cam,2,15,8,2,7,0,0,2,2,0,4,2,3,1,2,0,8,8,1,0,0,0,1,66,-
2015R107,Adelaide,2015,R1,2013724713,Hartigan. Kyle,11,16,6,5,10,0,0,0,0,3,0,0,0,0,0,0,6,10,0,0,2,0,0,99,-
2015R107,Adelaide,2015,R1,2010728130,Henderson. Ricky,65,12,10,1,2,0,0,0,2,4,3,1,2,1,0,0,6,5,0,0,3,0,0,69,-
2015R107,Adelaide,2015,R1,2009748959,Jacobs. Sam,105,13,10,7,3,0,0,26,1,1,2,0,0,1,0,0,2,11,1,0,5,0,0,84,-
2015R107,Adelaide,2015,R1,2010744089,Jaensch. Matthew,68,14,12,6,2,0,0,0,1,1,3,1,0,1,0,0,5,9,0,0,3,1,0,81,-
2015R107,Adelaide,2015,R1,2012743763,Jenkins. Josh,49,14,7,7,7,3,1,3,2,0,1,1,1,0,0,0,4,10,1,4,2,0,2,81,-
2015R107,Adelaide,2015,R1,2013762245,Laird. Rory,35,24,14,7,10,1,0,0,2,3,2,1,4,0,2,0,8,17,0,1,5,0,0,88,-
2015R107,Adelaide,2015,R1,2010763943,Lynch. Tom,38,10,8,5,2,1,0,0,2,0,0,0,2,0,0,0,3,7,2,2,2,0,1,89,-
2015R107,Adelaide,2015,R1,2012767797,Lyons. Jarryd,23,10,6,3,4,0,0,0,4,1,0,3,2,0,0,0,5,5,0,0,0,0,0,32,On
2015R107,Adelaide,2015,R1,2008774238,Mackay. David,125,15,7,4,8,0,0,0,3,4,1,2,1,0,0,0,5,10,0,0,0,1,0,81,-
2015R107,Adelaide,2015,R1,2009835778,Sloane. Rory,101,26,14,6,12,2,0,1,5,1,4,5,5,4,3,0,13,14,0,1,5,3,0,88,-
2015R107,Adelaide,2015,R1,2011832909,Smith. Brodie,77,22,14,5,8,1,0,0,3,5,6,3,3,2,0,0,10,12,2,0,2,5,1,81,-
2015R107,Adelaide,2015,R1,2011843284,Talia. Daniel,77,17,7,4,10,0,0,0,2,2,0,0,1,1,0,0,6,10,0,0,5,0,0,100,-
2015R107,Adelaide,2015,R1,2009877055,Walker. Taylor,85,22,21,15,1,6,5,0,0,0,7,0,4,1,2,3,6,16,3,9,1,1,2,97,-
2015R107,Adelaide,2015,R1,2011872696,Wright. Matthew,79,9,8,3,1,0,0,0,4,1,2,0,3,0,1,0,0,6,0,0,1,0,1,90,-
2015R107,Adelaide,2015,R1,20051181200,van Berlo. Nathan,183,17,10,4,7,0,0,0,4,1,6,3,1,1,1,0,5,12,0,0,0,0,1,83,-
2015R204,Adelaide,2015,R2,2005667052,Betts. Eddie,208,14,8,2,6,1,1,0,6,0,2,3,0,2,0,0,7,6,0,0,1,0,1,94,-
2015R204,Adelaide,2015,R2,2012662083,Brown. Luke,48,13,7,2,6,0,0,0,2,1,1,1,1,1,0,0,5,8,0,0,1,0,1,85,-
2015R204,Adelaide,2015,R2,2014678070,Cameron. Charlie,9,11,5,3,6,1,0,0,4,0,3,0,4,0,2,0,5,6,0,1,0,0,1,83,-
2015R204,Adelaide,2015,R2,2009675555,Cheney. Kyle,43,15,11,6,4,0,0,0,2,2,1,0,2,0,1,0,2,12,1,1,4,0,0,88,-
2015R204,Adelaide,2015,R2,2008681760,Dangerfield. Patrick,133,29,19,4,10,2,3,0,4,1,8,8,3,0,2,1,13,17,0,2,4,0,1,88,-
2015R204,Adelaide,2015,R2,2006687579,Douglas. Richard,157,26,17,5,9,1,0,0,7,3,1,5,4,0,2,0,10,15,0,1,2,0,0,83,-
2015R204,Adelaide,2015,R2,2014697406,Ellis-Yolmen. Cam,3,24,12,4,12,0,0,0,6,1,6,5,3,2,1,0,15,8,1,0,2,0,1,86,-
2015R204,Adelaide,2015,R2,2013715229,Grigg. Mitch,15,10,6,2,4,0,0,0,1,0,0,1,0,0,0,0,3,7,0,0,1,0,0,27,On
2015R204,Adelaide,2015,R2,2013724713,Hartigan. Kyle,12,21,11,8,10,0,0,0,2,4,0,0,1,3,0,0,8,13,0,0,3,0,0,100,-
2015R204,Adelaide,2015,R2,2010728130,Henderson. Ricky,66,25,16,6,9,0,0,0,2,3,9,2,2,0,0,0,6,18,0,0,2,1,1,84,-
2015R204,Adelaide,2015,R2,2009748959,Jacobs. Sam,106,24,10,9,14,0,0,32,0,0,0,3,1,2,0,2,10,14,2,0,2,0,0,84,-
2015R204,Adelaide,2015,R2,2010744089,Jaensch. Matthew,69,26,20,13,6,0,0,0,1,5,0,0,0,0,0,0,3,23,0,0,3,0,0,82,-
2015R204,Adelaide,2015,R2,2012743763,Jenkins. Josh,50,12,7,4,5,1,1,6,1,0,2,0,3,1,0,0,3,7,0,2,1,0,0,84,-
2015R204,Adelaide,2015,R2,2013762245,Laird. Rory,36,21,12,9,9,0,1,0,4,1,3,1,1,1,1,0,7,15,0,0,2,0,0,79,-
2015R204,Adelaide,2015,R2,2010763943,Lynch. Tom,39,22,11,6,11,2,1,0,2,1,4,1,2,0,1,0,5,17,0,1,0,1,1,85,-
2015R204,Adelaide,2015,R2,2008774238,Mackay. David,126,9,5,5,4,0,0,0,3,3,0,0,1,1,1,0,2,7,0,0,1,0,0,76,-
2015R204,Adelaide,2015,R2,2009835778,Sloane. Rory,102,30,17,8,13,0,1,0,4,2,4,9,2,2,1,0,17,16,1,2,3,1,2,87,-
2015R204,Adelaide,2015,R2,2011832909,Smith. Brodie,78,29,21,7,8,1,2,0,2,0,8,3,4,1,2,3,9,19,0,0,1,1,0,77,-
2015R204,Adelaide,2015,R2,2011843284,Talia. Daniel,78,24,13,5,11,0,0,0,2,2,2,0,3,1,1,0,4,15,0,0,7,0,0,98,-
2015R204,Adelaide,2015,R2,2009877055,Walker. Taylor,86,19,16,11,3,2,3,0,2,0,1,0,5,0,0,0,2,17,0,6,0,0,1,95,-
2015R204,Adelaide,2015,R2,2011872696,Wright. Matthew,80,7,3,1,4,0,0,0,3,0,1,1,2,0,1,0,5,2,0,0,1,0,0,49,Off
2015R204,Adelaide,2015,R2,20051181200,van Berlo. Nathan,184,15,11,6,4,1,0,0,8,3,2,2,1,1,1,0,6,10,2,1,0,0,1,87,-
2015R303,Adelaide,2015,R3,2005667052,Betts. Eddie,209,14,10,2,4,1,1,0,2,0,3,1,1,1,0,0,8,5,1,0,3,0,2,96,-
2015R303,Adelaide,2015,R3,2012662083,Brown. Luke,49,12,9,5,3,1,0,0,3,2,1,0,1,0,0,0,3,9,0,1,3,1,1,86,-
2015R303,Adelaide,2015,R3,2014678070,Cameron. Charlie,10,3,3,0,0,1,1,0,4,0,1,0,1,1,0,0,2,1,0,0,1,0,0,64,Off
2015R303,Adelaide,2015,R3,2008681760,Dangerfield. Patrick,134,16,8,1,8,0,1,2,8,0,2,2,4,2,3,0,11,5,1,0,3,0,0,87,-
2015R303,Adelaide,2015,R3,2006687579,Douglas. Richard,158,22,15,1,7,0,0,1,6,0,5,6,1,1,0,0,8,12,0,0,4,0,3,72,-
2015R303,Adelaide,2015,R3,2014697406,Ellis-Yolmen. Cam,4,20,10,1,10,2,0,1,7,2,4,8,2,0,0,0,11,9,0,0,1,1,0,83,-
2015R303,Adelaide,2015,R3,2013724713,Hartigan. Kyle,13,13,10,6,3,0,0,0,2,1,1,0,3,1,0,0,5,8,0,0,2,0,0,100,-
2015R303,Adelaide,2015,R3,2010728130,Henderson. Ricky,67,16,14,4,2,0,0,0,1,4,3,0,1,0,0,0,2,12,0,0,3,0,0,79,-
2015R303,Adelaide,2015,R3,2009748959,Jacobs. Sam,107,6,3,2,3,0,0,55,4,2,2,0,3,0,1,0,4,3,1,0,6,0,0,87,-
2015R303,Adelaide,2015,R3,2010744089,Jaensch. Matthew,70,19,17,7,2,0,0,0,2,4,2,0,4,0,2,0,4,11,0,0,3,0,0,86,-
2015R303,Adelaide,2015,R3,2012743763,Jenkins. Josh,51,7,4,2,3,1,1,6,2,0,3,1,1,1,1,0,3,4,0,1,2,0,0,86,-
2015R303,Adelaide,2015,R3,2015754078,Kelly. Jake,1,7,4,3,3,0,0,0,10,1,0,0,3,1,1,0,3,4,0,0,4,0,0,87,-
2015R303,Adelaide,2015,R3,2013762245,Laird. Rory,37,11,4,1,7,0,0,0,3,2,2,0,0,2,0,0,4,7,0,0,2,0,0,82,-
2015R303,Adelaide,2015,R3,2010763943,Lynch. Tom,40,20,17,9,3,1,2,0,2,0,7,2,1,0,0,0,8,13,2,2,2,0,1,85,-
2015R303,Adelaide,2015,R3,2008774238,Mackay. David,127,23,17,3,6,1,0,0,13,4,2,4,4,3,1,1,11,11,1,0,0,0,0,81,-
2015R303,Adelaide,2015,R3,2009835778,Sloane. Rory,103,31,15,4,16,0,0,0,10,1,3,8,4,1,0,2,18,13,0,0,0,2,0,78,-
2015R303,Adelaide,2015,R3,2011832909,Smith. Brodie,79,18,11,1,7,1,0,0,5,2,3,4,2,0,1,0,10,5,0,0,0,0,0,89,-
2015R303,Adelaide,2015,R3,2011843284,Talia. Daniel,79,12,9,4,3,0,0,0,2,2,2,0,4,1,1,0,4,8,1,0,9,0,0,93,-
2015R303,Adelaide,2015,R3,2001849962,Thompson. Scott,265,30,14,0,16,0,0,0,11,0,3,11,4,3,2,3,19,10,0,0,3,0,1,84,-
2015R303,Adelaide,2015,R3,2009877055,Walker. Taylor,87,9,4,1,5,3,0,0,2,0,1,0,2,1,1,0,6,3,1,1,1,0,0,91,-
2015R303,Adelaide,2015,R3,2011872696,Wright. Matthew,81,7,5,0,2,0,0,0,1,0,4,4,1,1,1,0,6,1,0,0,0,0,0,23,On
2015R303,Adelaide,2015,R3,20051181200,van Berlo. Nathan,185,9,5,2,4,0,0,1,8,1,0,3,1,1,0,0,5,4,0,0,2,0,0,81,-
2015R409,Adelaide,2015,R4,2005667052,Betts. Eddie,210,13,9,4,4,4,1,0,1,0,2,0,1,0,0,0,6,7,1,3,0,0,0,94,-
2015R409,Adelaide,2015,R4,2012662083,Brown. Luke,50,11,8,5,3,0,0,0,4,3,0,0,2,1,0,0,4,9,0,0,3,0,0,89,-
2015R409,Adelaide,2015,R4,2008681760,Dangerfield. Patrick,135,19,13,5,6,2,2,0,7,0,4,5,2,2,0,0,10,8,2,2,0,0,0,79,-
2015R409,Adelaide,2015,R4,2006687579,Douglas. Richard,159,17,11,2,6,0,0,0,7,1,4,4,3,1,1,0,8,8,0,0,0,0,0,84,-
2015R409,Adelaide,2015,R4,2014697406,Ellis-Yolmen. Cam,5,23,11,6,12,0,1,2,1,2,2,6,2,0,0,0,11,12,1,0,1,0,0,77,-
