gameId,team,year,round,playerId,displayName,gameNumber,Disposals,Kicks,Marks,Handballs,Goals,Behinds,HitOuts,Tackles,Rebounds,Inside50s,Clearances,Clangers,Frees,FreesAgainst,BrownlowVotes,ContestedPossessions,UncontestedPossessions,ContestedMarks,MarksInside50,OnePercenters,Bounces,GoalAssists,PercentPlayed,Subs
2019R104,Adelaide,2019,1,2015652891,Atkins. Rory,78,31,22,7,9,0,1,0,0,2,10,1,7,0,3,0,6,26,0,0,0,1,0,88,nan
2019R104,Adelaide,2019,1,2005667052,Betts. Eddie,296,10,6,3,4,2,0,0,3,0,3,3,1,3,1,0,6,5,0,1,2,0,0,87,nan
2019R104,Adelaide,2019,1,2013674392,Crouch. Brad,62,28,13,6,15,2,0,0,2,3,3,5,3,2,0,0,10,19,0,1,0,0,0,75,nan
2019R104,Adelaide,2019,1,2014678470,Crouch. Matt,91,40,16,5,24,1,0,0,4,1,4,5,2,2,1,0,17,23,0,1,1,0,0,81,nan
2019R104,Adelaide,2019,1,2018689604,Doedee. Tom,21,8,5,3,3,0,0,0,1,2,0,0,0,0,0,0,3,5,1,0,2,0,0,27,nan
2019R104,Adelaide,2019,1,2006687579,Douglas. Richard,238,15,13,4,2,0,2,0,1,1,3,1,2,1,1,0,4,10,0,1,0,0,0,71,nan
2019R104,Adelaide,2019,1,2007712963,Gibbs. Bryce,254,16,10,3,6,0,0,0,7,0,1,2,3,0,0,0,6,10,1,0,2,0,0,72,nan
2019R104,Adelaide,2019,1,2009748959,Jacobs. Sam,197,12,6,2,6,0,1,31,2,0,3,3,2,0,1,0,6,6,1,0,4,0,0,81,nan
2019R104,Adelaide,2019,1,2012743763,Jenkins. Josh,137,12,7,5,5,0,0,4,4,1,3,0,1,2,0,0,3,9,0,1,1,0,1,92,nan
2019R104,Adelaide,2019,1,2019748529,Jones. Chayce,1,9,3,3,6,1,1,0,4,0,1,1,2,0,1,0,4,6,0,1,1,0,0,74,nan
2019R104,Adelaide,2019,1,2017759851,Keath. Alex,13,20,13,6,7,0,0,0,2,4,2,1,7,1,1,0,13,9,3,0,5,0,0,94,nan
2019R104,Adelaide,2019,1,2015754078,Kelly. Jake,54,25,11,4,14,0,0,0,1,2,1,0,4,0,1,0,7,16,1,0,7,0,0,95,nan
2019R104,Adelaide,2019,1,2015753305,Knight. Riley,40,20,8,3,12,0,1,0,3,0,1,1,4,2,0,0,8,12,0,0,1,0,0,89,nan
2019R104,Adelaide,2019,1,2013762245,Laird. Rory,122,29,18,5,11,0,0,0,3,3,4,0,4,0,0,0,7,22,0,0,4,0,0,88,nan
2019R104,Adelaide,2019,1,2010763943,Lynch. Tom,124,20,8,5,12,0,0,0,1,0,2,0,2,0,0,0,15,4,3,0,2,0,0,92,nan
2019R104,Adelaide,2019,1,2008774238,Mackay. David,203,19,13,2,6,0,0,0,2,6,1,0,4,0,0,0,6,12,0,0,3,0,0,83,nan
2019R104,Adelaide,2019,1,2016776481,Milera. Wayne,44,26,13,4,13,0,1,0,4,5,1,4,3,1,0,0,9,16,0,0,4,1,0,86,nan
2019R104,Adelaide,2019,1,2018774782,Murphy. Lachlan,12,11,5,2,6,0,0,0,1,0,4,1,1,1,0,0,3,8,0,1,0,0,2,76,nan
2019R104,Adelaide,2019,1,2009835778,Sloane. Rory,178,36,15,4,21,1,0,0,9,2,4,11,2,3,0,0,22,13,0,1,3,0,1,86,nan
2019R104,Adelaide,2019,1,2011832909,Smith. Brodie,146,21,9,5,12,0,1,0,2,4,2,1,1,0,0,0,6,11,0,0,3,1,1,83,nan
2019R104,Adelaide,2019,1,2011843284,Talia. Daniel,165,18,7,4,11,0,0,0,1,5,0,0,1,2,0,0,4,15,0,0,9,0,0,90,nan
2019R104,Adelaide,2019,1,2009877055,Walker. Taylor,168,13,8,6,5,0,1,0,1,0,5,0,4,0,1,0,7,7,1,0,3,0,0,92,nan
2019R202,Adelaide,2019,2,2015652891,Atkins. Rory,79,21,14,3,7,1,1,0,1,4,4,2,1,0,0,0,6,13,0,0,4,0,0,87,nan
2019R202,Adelaide,2019,2,2005667052,Betts. Eddie,297,9,7,1,2,1,1,0,3,1,1,5,3,1,2,0,6,3,1,1,1,0,1,87,nan
2019R202,Adelaide,2019,2,2013674392,Crouch. Brad,63,26,15,5,11,1,0,0,5,0,3,2,5,1,0,1,10,13,0,0,0,0,1,82,nan
2019R202,Adelaide,2019,2,2014678470,Crouch. Matt,92,24,12,5,12,0,0,0,7,4,5,6,2,1,1,0,8,16,0,0,0,0,0,80,nan
2019R202,Adelaide,2019,2,2007712963,Gibbs. Bryce,255,23,15,3,8,0,0,0,2,0,4,4,2,1,0,0,5,18,0,0,1,0,1,69,nan
2019R202,Adelaide,2019,2,2013724713,Hartigan. Kyle,83,12,7,5,5,0,0,0,1,3,0,1,1,0,0,0,4,8,1,0,2,0,0,90,nan
2019R202,Adelaide,2019,2,2009748959,Jacobs. Sam,198,7,3,1,4,0,1,40,1,1,1,2,2,1,1,0,5,4,1,1,1,0,0,73,nan
2019R202,Adelaide,2019,2,2012743763,Jenkins. Josh,138,15,12,6,3,2,0,7,3,2,4,1,1,5,0,0,10,4,3,1,0,0,0,83,nan
2019R202,Adelaide,2019,2,2019748529,Jones. Chayce,2,12,9,2,3,0,3,0,0,0,5,1,2,1,1,0,6,7,0,0,1,1,0,76,nan
2019R202,Adelaide,2019,2,2017759851,Keath. Alex,14,15,7,1,8,0,0,0,2,3,2,0,4,0,3,0,4,10,1,0,6,0,0,90,nan
2019R202,Adelaide,2019,2,2015754078,Kelly. Jake,55,16,7,5,9,0,0,0,1,1,0,0,1,0,1,0,4,12,0,0,6,0,0,80,nan
2019R202,Adelaide,2019,2,2015753305,Knight. Riley,41,12,6,3,6,2,1,0,5,1,1,2,3,2,2,0,5,6,0,1,1,0,0,77,nan
2019R202,Adelaide,2019,2,2013762245,Laird. Rory,123,21,13,5,8,0,0,0,3,6,0,0,1,1,0,0,4,14,0,0,1,0,1,84,nan
2019R202,Adelaide,2019,2,2010763943,Lynch. Tom,125,18,9,5,9,1,1,0,1,0,0,1,1,0,0,0,7,12,0,1,0,0,0,89,nan
2019R202,Adelaide,2019,2,2008774238,Mackay. David,204,17,9,4,8,2,0,0,2,2,4,0,2,1,0,0,7,10,0,0,2,0,0,74,nan
2019R202,Adelaide,2019,2,2016776481,Milera. Wayne,45,21,11,6,10,0,0,0,4,3,1,2,1,2,0,0,7,14,1,0,2,0,0,85,nan
2019R202,Adelaide,2019,2,2018774782,Murphy. Lachlan,13,17,9,5,8,0,0,0,3,2,5,2,2,0,1,0,7,9,0,0,1,0,0,78,nan
2019R202,Adelaide,2019,2,2012834096,Seedsman. Paul,89,17,10,7,7,1,1,0,1,4,3,1,0,0,0,0,4,13,1,1,0,3,0,83,nan
2019R202,Adelaide,2019,2,2009835778,Sloane. Rory,179,23,12,5,11,0,1,0,9,2,2,5,4,7,0,3,13,10,0,1,2,0,0,80,nan
2019R202,Adelaide,2019,2,2011832909,Smith. Brodie,147,23,20,5,3,0,1,0,2,4,3,0,0,1,0,0,3,17,0,0,4,0,0,81,nan
2019R202,Adelaide,2019,2,2011843284,Talia. Daniel,166,12,9,5,3,0,0,0,4,4,0,1,4,0,1,0,2,10,0,0,7,0,0,87,nan
2019R202,Adelaide,2019,2,2009877055,Walker. Taylor,169,16,10,6,6,1,3,0,4,0,4,0,4,2,2,0,11,5,2,0,2,0,1,85,nan
2019R301,Adelaide,2019,3,2015652891,Atkins. Rory,80,12,6,3,6,1,1,0,0,3,2,2,0,0,0,0,3,8,0,0,0,0,0,77,nan
2019R301,Adelaide,2019,3,2005667052,Betts. Eddie,298,15,8,2,7,0,1,0,4,0,4,1,3,1,2,0,4,10,0,1,0,1,3,83,nan
2019R301,Adelaide,2019,3,2013674392,Crouch. Brad,64,35,18,4,17,1,1,0,6,2,2,8,2,0,1,2,11,21,0,1,1,0,1,78,nan
2019R301,Adelaide,2019,3,2014678470,Crouch. Matt,93,27,12,2,15,1,0,0,6,1,4,6,3,2,1,0,11,17,0,1,2,0,1,77,nan
2019R301,Adelaide,2019,3,2007712963,Gibbs. Bryce,256,27,19,5,8,0,0,0,4,4,4,3,6,1,1,0,8,14,1,0,0,0,0,73,nan
2019R301,Adelaide,2019,3,2013724713,Hartigan. Kyle,84,7,4,3,3,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,5,0,0,86,nan
2019R301,Adelaide,2019,3,2012743763,Jenkins. Josh,139,10,5,4,5,1,1,3,1,0,1,0,1,1,0,0,3,7,2,2,0,2,0,87,nan
2019R301,Adelaide,2019,3,2019748529,Jones. Chayce,3,8,2,1,6,0,0,0,1,0,1,0,0,0,0,0,3,5,0,1,3,0,1,77,nan
