year,round,player,team,score
2013,1,andrew swallow,North Melbourne,141
2013,1,gary ablett,Gold Coast,135
2013,1,bryce gibbs,Carlton,133
2013,1,brad ebert,Port Adelaide,129
2013,1,sam mitchell,Hawthorn,128
2013,1,ben howlett,Essendon,127
2013,1,ryan griffen,Western Bulldogs,126
2013,1,michael barlow,Fremantle,126
2013,1,scott pendlebury,Collingwood,124
2013,1,dane swan,Collingwood,123
2013,1,joel selwood,Geelong,122
2013,1,tom liberatore,Western Bulldogs,120
2013,1,kane cornes,Port Adelaide,119
2013,1,jarryn geary,St Kilda,117
2013,1,david mundy,Fremantle,117
2013,1,ryan okeefe,Sydney,116
2013,1,brent stanton,Essendon,115
2013,1,shaun higgins,Western Bulldogs,115
2013,1,tom rockliff,Brisbane Lions,114
2013,1,matthew kreuzer,Carlton,114
2013,1,jobe watson,Essendon,113
2013,1,beau waters,West Coast,113
2013,1,david armitage,St Kilda,112
2013,1,jay schulz,Port Adelaide,112
2013,1,nick dal santo,St Kilda,111
2013,1,andrew mackie,Geelong,109
2013,1,kieren jack,Sydney,107
2013,1,tory dickson,Western Bulldogs,107
2013,1,steele sidebottom,Collingwood,106
2013,1,hamish hartlett,Port Adelaide,105
2013,1,chris mayne,Fremantle,104
2013,1,lenny hayes,St Kilda,104
2013,1,paul chapman,Geelong,103
2013,1,dylan shiel,Greater Western Sydney,103
2013,1,marc murphy,Carlton,103
2013,1,matthew wright,Adelaide,102
2013,1,travis boak,Port Adelaide,102
2013,1,grant birchall,Hawthorn,101
2013,1,todd goldstein,North Melbourne,101
2013,1,daniel giansiracusa,Western Bulldogs,101
2013,1,ty vickery,Richmond,101
2013,1,shane mumford,Sydney,101
2013,1,trent cotchin,Richmond,101
2013,1,heritier lumumba,Collingwood,100
2013,1,justin westhoff,Port Adelaide,100
2013,1,courtenay dempsey,Essendon,100
2013,1,danyle pearce,Fremantle,99
2013,1,josh kennedy,West Coast,99
2013,1,daniel cross,Western Bulldogs,99
2013,1,ollie wines,Port Adelaide,99
2013,1,paul puopolo,Hawthorn,98
2013,1,matt priddis,West Coast,98
2013,1,mathew stokes,Geelong,98
2013,1,heath hocking,Essendon,98
2013,1,adam cooney,Western Bulldogs,98
2013,1,adam treloar,Greater Western Sydney,98
2013,1,charlie dixon,Gold Coast,98
2013,1,daniel jackson,Richmond,98
2013,1,nick suban,Fremantle,97
2013,1,brent moloney,Brisbane Lions,96
2013,1,travis cloke,Collingwood,96
2013,1,stephen hill,Fremantle,96
2013,1,jordan lewis,Hawthorn,96
2013,1,taylor hunt,Geelong,96
2013,1,cyril rioli,Hawthorn,95
2013,1,angus monfries,Port Adelaide,93
2013,1,shaun grigg,Richmond,92
2013,1,will minson,Western Bulldogs,92
2013,1,jack steven,St Kilda,92
2013,1,brett goodes,Western Bulldogs,91
2013,1,james podsiadly,Geelong,91
2013,1,chris judd,Carlton,91
2013,1,brad sewell,Hawthorn,91
2013,1,andrew walker,Carlton,90
2013,1,jimmy bartel,Geelong,89
2013,1,jack grimes,Melbourne,89
2013,1,dion prestia,Gold Coast,89
2013,1,aaron mullett,North Melbourne,89
2013,1,isaac smith,Hawthorn,88
2013,1,rory sloane,Adelaide,88
2013,1,pearce hanley,Brisbane Lions,87
2013,1,shaun burgoyne,Hawthorn,87
2013,1,josh kennedy,Sydney,87
2013,1,jack viney,Melbourne,86
2013,1,adam goodes,Sydney,86
2013,1,mitch duncan,Geelong,85
2013,1,shane tuck,Richmond,85
2013,1,rhys stanley,St Kilda,85
2013,1,luke parker,Sydney,85
2013,1,brent guerra,Hawthorn,85
2013,1,robert murphy,Western Bulldogs,84
2013,1,richard douglas,Adelaide,84
2013,1,stephen coniglio,Greater Western Sydney,84
2013,1,liam sumner,Greater Western Sydney,84
2013,1,callan ward,Greater Western Sydney,83
2013,1,liam picken,Western Bulldogs,83
2013,1,ivan maric,Richmond,83
2013,1,jarrod harbrow,Gold Coast,82
2013,1,mark lecras,West Coast,82
2013,1,michael walters,Fremantle,82
2013,1,dean cox,West Coast,82
2013,1,nick riewoldt,St Kilda,82
2013,1,alex rance,Richmond,82
2013,1,shannon hurn,West Coast,82
2013,1,david myers,Essendon,81
2013,1,farren ray,St Kilda,81
