year,round,displayName,team,score
2014,1,Jobe Watson,Essendon,153
2014,1,Dyson Heppell,Essendon,150
2014,1,Nathan Jones,Melbourne,147
2014,1,Clinton Jones,St Kilda,141
2014,1,Gary Ablett,Gold Coast,141
2014,1,Mark Lecras,West Coast,139
2014,1,Oliver Wines,Port Adelaide,136
2014,1,Michael Barlow,Fremantle,134
2014,1,Joel Selwood,Geelong,132
2014,1,Brett Deledio,Richmond,132
2014,1,Stephen Coniglio,Greater Western Sydney,130
2014,1,Kane Cornes,Port Adelaide,128
2014,1,Trent Cotchin,Richmond,127
2014,1,Dion Prestia,Gold Coast,125
2014,1,Nick Riewoldt,St Kilda,125
2014,1,Cale Hooker,Essendon,125
2014,1,Luke Ball,Collingwood,124
2014,1,Adam Treloar,Greater Western Sydney,124
2014,1,Scott Pendlebury,Collingwood,122
2014,1,Dayne Beams,Collingwood,122
2014,1,Jackson Macrae,Western Bulldogs,122
2014,1,Matthew Rosa,West Coast,122
2014,1,Steve Johnson,Geelong,121
2014,1,Brendon Goddard,Essendon,119
2014,1,Matthew Boyd,Western Bulldogs,118
2014,1,Bernie Vince,Melbourne,118
2014,1,Dom Tyson,Melbourne,116
2014,1,David Swallow,Gold Coast,114
2014,1,Scott Selwood,West Coast,113
2014,1,Justin Westhoff,Port Adelaide,113
2014,1,Jaeger O'Meara,Gold Coast,112
2014,1,Jordan Lewis,Hawthorn,111
2014,1,Callan Ward,Greater Western Sydney,111
2014,1,Jackson Merrett,Essendon,111
2014,1,Aaron Sandilands,Fremantle,110
2014,1,Luke Breust,Hawthorn,110
2014,1,Shane Mumford,Greater Western Sydney,110
2014,1,Rory Sloane,Adelaide,109
2014,1,Matthew Priddis,West Coast,109
2014,1,Liam Shiels,Hawthorn,109
2014,1,Dean Cox,West Coast,108
2014,1,Jake Spencer,Melbourne,108
2014,1,Matthew Wright,Adelaide,108
2014,1,Sam Jacobs,Adelaide,108
2014,1,Luke Dahlhaus,Western Bulldogs,108
2014,1,Corey Enright,Geelong,108
2014,1,Matt Thomas,Richmond,108
2014,1,Ben Howlett,Essendon,107
2014,1,Luke Dunstan,St Kilda,106
2014,1,Paul Chapman,Essendon,106
2014,1,Isaac Smith,Hawthorn,106
2014,1,Andrew Gaff,West Coast,105
2014,1,Farren Ray,St Kilda,105
2014,1,Tendai Mzungu,Fremantle,105
2014,1,Tom Langdon,Collingwood,105
2014,1,Mathew Stokes,Geelong,104
2014,1,Andrew Mackie,Geelong,104
2014,1,David Myers,Essendon,103
2014,1,Lachlan Hunter,Western Bulldogs,103
2014,1,Grant Birchall,Hawthorn,103
2014,1,Brad Ebert,Port Adelaide,100
2014,1,James Kelly,Geelong,100
2014,1,Dustin Martin,Richmond,100
2014,1,Jarrod Harbrow,Gold Coast,100
2014,1,David Zaharakis,Essendon,100
2014,1,David Ellard,Carlton,100
2014,1,Sean Dempster,St Kilda,100
2014,1,Chad Wingard,Port Adelaide,100
2014,1,David Mundy,Fremantle,99
2014,1,Jimmy Bartel,Geelong,99
2014,1,Danyle Pearce,Fremantle,98
2014,1,James Gwilt,St Kilda,98
2014,1,Jarryd Roughead,Hawthorn,98
2014,1,Reece Conca,Richmond,97
2014,1,Aaron Mullett,North Melbourne,97
2014,1,Dane Swan,Collingwood,97
2014,1,Shaun Grigg,Richmond,96
