year,round,player,team,score
2015,1,Brad Ebert,Power,163
2015,1,Jordan Lewis,Hawks,156
2015,1,Taylor Walker,Crows,146
2015,1,Oliver Wines,Power,131
2015,1,Eddie Betts,Crows,130
2015,1,Tom McDonald,Demons,125
2015,1,Robbie Gray,Power,122
2015,1,Steven Motlop,Cats,122
2015,1,Brandon Ellis,Tigers,121
2015,1,Adam Treloar,Giants,119
2015,1,Travis Boak,Power,115
2015,1,Luke Hodge,Hawks,115
2015,1,Taylor Hunt,Tigers,115
2015,1,Jeremy McGovern,Eagles,114
2015,1,Lachie Whitfield,Giants,114
2015,1,Matthew Rosa,Eagles,114
2015,1,Matthew Boyd,Bulldogs,113
2015,1,Luke Dahlhaus,Bulldogs,113
2015,1,Rory Sloane,Crows,112
2015,1,Luke Parker,Swans,111
2015,1,Dyson Heppell,Bombers,111
2015,1,Daniel Rich,Lions,111
2015,1,Josh Gibson,Hawks,110
2015,1,Danyle Pearce,Dockers,110
2015,1,Jared Polec,Power,109
2015,1,David Mundy,Dockers,108
2015,1,Tom Bell,Blues,108
2015,1,Sam Docherty,Blues,107
2015,1,Jackson Macrae,Bulldogs,107
2015,1,Dane Swan,Magpies,105
2015,1,Jeff Garlett,Demons,105
2015,1,Chad Wingard,Power,104
2015,1,Nathan Jones,Demons,104
2015,1,Marcus Bontempelli,Bulldogs,104
2015,1,Kieren Jack,Swans,104
2015,1,Dayne Zorko,Lions,104
2015,1,Scott Pendlebury,Magpies,104
2015,1,Matthew Pavlich,Dockers,103
2015,1,Jamie Cripps,Eagles,103
2015,1,Richard Douglas,Crows,102
2015,1,Jarryd Blair,Magpies,102
2015,1,Leigh Montagna,Saints,102
2015,1,Dion Prestia,Suns,101
2015,1,Dylan Shiel,Giants,101
2015,1,Luke Shuey,Eagles,101
2015,1,Michael Barlow,Dockers,101
2015,1,Scott Selwood,Eagles,101
2015,1,Kamdyn Mcintosh,Tigers,101
2015,1,Allen Christensen,Lions,100
2015,1,Mathew Stokes,Cats,100
2015,1,Daniel Hannebery,Swans,99
2015,1,Ben Howlett,Bombers,99
2015,1,Jack Steven,Saints,99
2015,1,Nick Vlastuin,Tigers,98
2015,1,Michael Rischitelli,Suns,98
2015,1,Adam Schneider,Saints,97
2015,1,Lin Jong,Bulldogs,97
2015,1,Kade Simpson,Blues,97
2015,1,Chris Masten,Eagles,96
2015,1,Jamie Elliott,Magpies,96
2015,1,Bryce Gibbs,Blues,96
2015,1,Jimmy Bartel,Cats,96
2015,1,Ben Newton,Demons,96
2015,1,Jake Melksham,Bombers,95
2015,1,Ben Cunnington,Kangaroos,95
2015,1,Nathan Fyfe,Dockers,95
2015,1,Daniel Cross,Demons,94
2015,1,Josh Kennedy Injured,Swans,94
2015,1,Brodie Smith,Crows,93
2015,1,Chris Judd,Blues,93
2015,1,Jobe Watson,Bombers,93
2015,1,Patrick Dangerfield,Crows,93
2015,1,Isaac Heeney,Swans,92
2015,1,Steve Johnson,Cats,92
2015,1,Mitch Robinson,Lions,91
2015,1,Ivan Maric,Tigers,91
2015,1,Rory Laird,Crows,91
2015,1,Nicholas Naitanui,Eagles,90
2015,1,Dale Morris,Bulldogs,90
2015,1,Jarryn Geary,Saints,90
2015,1,Andrew Gaff,Eagles,90
2015,1,James Kelly,Cats,90
2015,1,Hamish Hartlett,Power,90
2015,1,Jack Riewoldt,Tigers,89
2015,1,David Armitage,Saints,89
2015,1,Steele Sidebottom,Magpies,88
2015,1,Sam Jacobs,Crows,88
2015,1,Stefan Martin,Lions,87
2015,1,Nick Riewoldt,Saints,87
2015,1,Jarryd Roughead,Hawks,87
2015,1,Luke Breust,Hawks,87
2015,1,Shannon Hurn,Eagles,87
2015,1,Jeremy Howe,Demons,87
2015,1,Jack Watts,Demons,87
2015,1,Mitchell Clark,Cats,86
2015,1,Will Minson,Bulldogs,86
2015,1,Paul Puopolo,Hawks,86
2015,1,Josh Jenkins,Crows,86
2015,1,Callan Ward,Giants,86
2015,1,Jake Stringer,Bulldogs,85
2015,1,Todd Goldstein,Kangaroos,85
2015,1,Jack Viney,Demons,85
2015,1,Kurt Tippett,Swans,85
2015,1,Shane Savage,Saints,84
2015,1,Sam Gibson,Kangaroos,84
2015,1,Anthony Miles,Tigers,84
2015,1,Shaun Atley,Kangaroos,84
2015,1,Isaac Smith,Hawks,83
2015,1,Corey Enright,Cats,83
2015,1,Taylor Adams,Magpies,83
2015,1,Dayne Beams,Lions,83
2015,1,Mitchell Wallis,Bulldogs,83
2015,1,Maverick Weller,Saints,83
2015,1,Jarrod Harbrow,Suns,82
2015,1,Josh Bruce,Saints,82
2015,1,Jason Johannisen,Bulldogs,82
2015,1,Joshua Green,Lions,82
2015,1,Kane Cornes,Power,81
2015,1,Jack Redden,Lions,81
2015,1,Joshua Kelly,Giants,81
2015,1,Marco Paparone,Lions,81
2015,1,Taylor Duryea,Hawks,81
2015,1,Mark Blicavs,Cats,81
2015,1,Troy Menzel,Blues,81
2015,1,Dom Tyson,Demons,80
2015,1,Nick Malceski,Suns,80
2015,1,Craig Bird,Swans,80
2015,1,Shaun Grigg,Tigers,80
2015,1,Patrick Ryder,Power,80
2015,1,Andrejs Everitt,Blues,80
2015,1,Cameron Guthrie,Cats,80
2015,1,Sam Lloyd,Tigers,80
2015,1,Tom Rockliff,Lions,79
2015,1,Lewis Taylor,Lions,79
2015,1,James Frawley,Hawks,79
2015,1,Bachar Houli,Tigers,78
2015,1,Jack Ziebell,Kangaroos,78
2015,1,Dane Rampe,Swans,78
2015,1,Jackson Trengove,Power,78
2015,1,Jonathon Ceglar,Hawks,77
2015,1,Cyril Rioli,Hawks,77
2015,1,Alan Toovey,Magpies,76
2015,1,Sam Butler,Eagles,76
2015,1,Joel Selwood,Cats,76
2015,1,Sam Mitchell,Hawks,76
2015,1,Matthew Leuenberger,Lions,76
2015,1,Jamie MacMillan,Kangaroos,76
2015,1,David Swallow,Suns,75
2015,1,Justin Westhoff,Power,75
2015,1,Claye Beams,Lions,75
2015,1,Cale Hooker,Bombers,75
2015,1,Jed Adcock,Lions,75
2015,1,Lindsay Thomas,Kangaroos,75
2015,1,Cameron McCarthy,Giants,74
2015,1,Mark Lecras,Eagles,74
2015,1,Shaun Burgoyne,Hawks,74
2015,1,Edward Curnow,Blues,74
2015,1,Patrick Ambrose,Bombers,74
2015,1,Matthew Broadbent,Power,74
2015,1,Matthew Priddis,Eagles,73
2015,1,Zachary Merrett,Bombers,73
2015,1,Kyle Cheney,Crows,73
2015,1,Harley Bennell,Suns,73
2015,1,Jesse Hogan,Demons,73
2015,1,Toby Greene,Giants,73
2015,1,Lynden Dunn,Demons,73
2015,1,Paul Chapman,Bombers,73
2015,1,Shaun Higgins,Kangaroos,73
2015,1,Benjamin Griffiths,Tigers,72
2015,1,Brendon Goddard,Bombers,72
2015,1,William Langford,Hawks,72
2015,1,Stewart Crameri,Bulldogs,72
2015,1,Michael Talia,Bulldogs,72
2015,1,Lee Spurr,Dockers,71
2015,1,Aaron Sandilands,Dockers,71
2015,1,Colin Garland,Demons,70
2015,1,Daniel Gorringe,Suns,70
2015,1,Nathan Van Berlo,Crows,70
2015,1,Harry Taylor,Cats,70
2015,1,Tom Langdon,Magpies,70
2015,1,Jesse White,Magpies,70
2015,1,Brett Goodes,Bulldogs,70
2015,1,Tory Dickson,Bulldogs,70
2015,1,Mitch Honeychurch,Bulldogs,69
2015,1,Angus Brayshaw,Demons,69
2015,1,Aaron Vandenberg,Demons,69
2015,1,Sharrod Wellingham,Eagles,69
2015,1,Thomas Jonas,Power,69
2015,1,Michael Hurley,Bombers,69
2015,1,Paul Duffield,Dockers,68
2015,1,Sam Fisher,Saints,68
2015,1,Jeremy Laidler,Swans,68
2015,1,Travis Cloke,Magpies,68
2015,1,David Zaharakis,Bombers,68
2015,1,Matthew Suckling,Hawks,68
2015,1,Jack Martin,Suns,68
2015,1,Shane Edwards,Tigers,67
2015,1,Brodie Grundy,Magpies,67
2015,1,Joshua Kennedy,Eagles,67
2015,1,Travis Colyer,Bombers,67
2015,1,Jarman Impey,Power,67
2015,1,Liam Picken,Bulldogs,67
2015,1,Marc Murphy,Blues,67
2015,1,Nick Haynes,Giants,66
2015,1,Jordan Roughead,Bulldogs,66
2015,1,Sean Dempster,Saints,66
2015,1,Shane Mumford,Giants,66
2015,1,Cameron Shenton,Saints,66
2015,1,Zac Smith,Suns,65
2015,1,Mitchell Hallahan,Suns,65
2015,1,Dylan Roberton,Saints,65
2015,1,Josh Caddy,Cats,65
2015,1,Mike Pyke,Swans,65
2015,1,Jasper Pittard,Power,64
2015,1,Adam Tomlinson,Giants,64
2015,1,Bradley Hill,Hawks,64
2015,1,Tyson Goldsack,Magpies,64
2015,1,Steven May,Suns,63
2015,1,Mark Jamar,Demons,63
2015,1,Jack Crisp,Magpies,63
2015,1,Rhys Palmer,Giants,63
2015,1,Matthew Jaensch,Crows,63
2015,1,Elliot Yeo,Eagles,62
2015,1,Daniel Talia,Crows,62
2015,1,Adam Saad,Suns,62
2015,1,Tom Bellchambers,Bombers,62
2015,1,Dustin Fletcher,Bombers,62
2015,1,Tomas Bugg,Giants,62
2015,1,Heath Shaw,Giants,62
2015,1,Michael Hibberd,Bombers,62
2015,1,Adam Cooney,Bombers,61
2015,1,Alex Fasolo,Magpies,61
2015,1,Cameron Wood,Blues,61
2015,1,Charlie Cameron,Crows,61
2015,1,Neville Jetta,Demons,61
2015,1,Nick Dal Santo,Kangaroos,61
2015,1,Gary Ablett,Suns,61
2015,1,David MacKay,Crows,61
2015,1,Joel Patfull,Giants,61
2015,1,Christopher Yarran,Blues,60
2015,1,Robert Murphy,Bulldogs,60
2015,1,Harry Cunningham,Swans,60
2015,1,Ryan Bastinac,Kangaroos,60
2015,1,Ben Sinclair,Magpies,59
2015,1,Travis Varcoe,Magpies,59
2015,1,Jake Batchelor,Tigers,59
2015,1,Lachie Neale,Dockers,59
2015,1,Lance Franklin,Swans,59
2015,1,Jaden McGrath,Lions,59
2015,1,Easton Wood,Bulldogs,59
2015,1,Devon Smith,Giants,59
2015,1,Sam Rowe,Blues,59
2015,1,Samuel Wright,Kangaroos,58
2015,1,Matt Shaw,Suns,58
2015,1,Jack Hombsch,Power,58
2015,1,Alex Rance,Tigers,58
2015,1,Rhyce Shaw,Swans,58
2015,1,Mark Baguley,Bombers,58
2015,1,Clancee Pearce,Dockers,57
2015,1,Scott Lycett,Eagles,57
2015,1,Mitchell Duncan,Cats,57
2015,1,Thomas Sheridan,Dockers,57
2015,1,Brent Stanton,Bombers,57
2015,1,Garrick Ibbotson,Dockers,57
2015,1,Lewis Jetta,Swans,57
2015,1,Tom Lynch,Crows,57
2015,1,Marley Williams,Magpies,57
2015,1,Simon White,Blues,56
2015,1,Ben McEvoy,Hawks,56
2015,1,Jeremy Cameron,Giants,55
2015,1,Drew Petrie,Kangaroos,55
2015,1,Andrew Swallow,Kangaroos,55
2015,1,Trent McKenzie,Suns,55
2015,1,Jake Neade,Power,55
2015,1,Patrick Cripps,Blues,54
2015,1,Matthew White,Power,54
2015,1,Heath Grundy,Swans,54
2015,1,Lachlan Henderson,Blues,54
2015,1,Andrew Carrazzo,Blues,54
2015,1,Trent Cotchin,Tigers,54
2015,1,Michael Johnson,Dockers,54
2015,1,Jack Gunston,Hawks,54
2015,1,Christian Salem,Demons,54
2015,1,Daniel Merrett,Lions,53
2015,1,Tom Scully,Giants,53
2015,1,Phil Davis,Giants,53
2015,1,Dustin Martin,Tigers,53
2015,1,Brett Deledio,Tigers,53
2015,1,Stephen Hill,Dockers,53
2015,1,Tim Membrey,Saints,53
2015,1,Jed Anderson,Hawks,53
2015,1,Martin Gleeson,Bombers,53
2015,1,Kyle Hartigan,Crows,53
2015,1,Bradley Sheppard,Eagles,52
2015,1,Alex Sexton,Suns,52
2015,1,Thomas Boyd,Bulldogs,52
2015,1,Tom Lamb,Eagles,52
2015,1,Jackson Nelson,Eagles,51
2015,1,Jarryd Lyons,Crows,51
