year,round,displayName,team,score
2017,1,josh kennedy,West Coast,174
2017,1,dustin martin,Richmond,159
2017,1,dyson heppell,Essendon,152
2017,1,rory laird,Adelaide,147
2017,1,scott pendlebury,Collingwood,146
2017,1,elliot yeo,West Coast,139
2017,1,marc murphy,Carlton,138
2017,1,patrick dangerfield,Geelong,138
2017,1,tom rockliff,Brisbane Lions,137
2017,1,josh kennedy,Sydney,134
2017,1,nathan jones,Melbourne,132
2017,1,max gawn,Melbourne,128
2017,1,zachary merrett,Essendon,126
2017,1,jason johannisen,Western Bulldogs,126
2017,1,oliver wines,Port Adelaide,125
2017,1,lance franklin,Sydney,125
2017,1,stephen hill,Fremantle,124
2017,1,brad ebert,Port Adelaide,124
2017,1,steven may,Gold Coast,123
2017,1,brendon goddard,Essendon,123
2017,1,matthew kreuzer,Carlton,121
2017,1,marcus bontempelli,Western Bulldogs,120
2017,1,jesse hogan,Melbourne,120
2017,1,andrew gaff,West Coast,119
2017,1,charlie cameron,Adelaide,119
2017,1,sam mitchell,West Coast,118
2017,1,mitchell duncan,Geelong,118
2017,1,heath shaw,Greater Western Sydney,118
2017,1,aaron hall,Gold Coast,118
2017,1,taylor adams,Collingwood,117
2017,1,touk miller,Gold Coast,117
2017,1,steele sidebottom,Collingwood,117
2017,1,rory atkins,Adelaide,116
2017,1,tom mitchell,Hawthorn,116
2017,1,dion prestia,Richmond,115
2017,1,dayne zorko,Brisbane Lions,114
2017,1,gary ablett,Gold Coast,114
2017,1,bernie vince,Melbourne,114
2017,1,toby nankervis,Richmond,114
2017,1,jack steele,St Kilda,113
2017,1,matt crouch,Adelaide,113
2017,1,trent cotchin,Richmond,113
2017,1,shaun grigg,Richmond,113
2017,1,shaun higgins,North Melbourne,111
2017,1,david mackay,Adelaide,110
2017,1,andrew mackie,Geelong,110
2017,1,lee spurr,Fremantle,110
2017,1,clayton oliver,Melbourne,109
2017,1,andrew swallow,North Melbourne,109
2017,1,mark lecras,West Coast,108
2017,1,nathan fyfe,Fremantle,108
2017,1,kade simpson,Carlton,107
2017,1,aaron sandilands,Fremantle,107
2017,1,sam mayes,Brisbane Lions,106
2017,1,tom scully,Greater Western Sydney,106
2017,1,ben mcevoy,Hawthorn,106
2017,1,michael barlow,Gold Coast,106
2017,1,alex fasolo,Collingwood,106
2017,1,joel selwood,Geelong,106
2017,1,luke parker,Sydney,105
2017,1,nick riewoldt,St Kilda,105
2017,1,todd goldstein,North Melbourne,105
2017,1,joshua kelly,Greater Western Sydney,105
2017,1,jeremy howe,Collingwood,105
2017,1,chad wingard,Port Adelaide,104
2017,1,jordan lewis,Melbourne,104
2017,1,bryce gibbs,Carlton,104
2017,1,david mundy,Fremantle,104
2017,1,jarrad waite,North Melbourne,104
2017,1,lachlan plowman,Carlton,103
2017,1,shannon hurn,West Coast,103
2017,1,jack ziebell,North Melbourne,103
2017,1,aaron young,Port Adelaide,103
2017,1,luke brown,Adelaide,103
2017,1,tom hawkins,Geelong,102
2017,1,thomas liberatore,Western Bulldogs,102
2017,1,zach tuohy,Geelong,102
2017,1,tom lynch,Gold Coast,101
2017,1,sam reid,Sydney,100
2017,1,joe daniher,Essendon,99
2017,1,travis boak,Port Adelaide,99
2017,1,stefan martin,Brisbane Lions,98
2017,1,isaac smith,Hawthorn,98
2017,1,jeremy mcgovern,West Coast,98
2017,1,caleb marchbank,Carlton,97
2017,1,shaun mckernan,Essendon,97
2017,1,daniel butler,Richmond,96
2017,1,jason castagna,Richmond,96
2017,1,adam treloar,Collingwood,96
2017,1,orazio fantasia,Essendon,96
2017,1,mitchell hannan,Melbourne,96
2017,1,billy stretch,Melbourne,96
2017,1,mitch mcgovern,Adelaide,96
2017,1,christian petracca,Melbourne,95
2017,1,zak jones,Sydney,95
2017,1,richard douglas,Adelaide,94
2017,1,matthew wright,Carlton,94
2017,1,lachlan hunter,Western Bulldogs,94
2017,1,jack viney,Melbourne,93
2017,1,david zaharakis,Essendon,93
2017,1,jobe watson,Essendon,93
2017,1,tom ruggles,Geelong,93
2017,1,zachary williams,Greater Western Sydney,92
2017,1,george hewett,Sydney,92
2017,1,lincoln mccarthy,Geelong,92
2017,1,jackson macrae,Western Bulldogs,92
2017,1,dayne beams,Brisbane Lions,91
2017,1,sam docherty,Carlton,91
2017,1,jack redden,West Coast,91
2017,1,eric hipwood,Brisbane Lions,91
2017,1,josh jenkins,Adelaide,90
2017,1,alex neal-bullen,Melbourne,90
2017,1,liam picken,Western Bulldogs,90
2017,1,rhys stanley,Geelong,90
2017,1,luke shuey,West Coast,89
2017,1,jake lloyd,Sydney,89
2017,1,matthew priddis,West Coast,88
2017,1,will hoskin-elliott,Collingwood,88
2017,1,connor blakely,Fremantle,88
2017,1,scott thompson,North Melbourne,88
2017,1,jarryn geary,St Kilda,88
2017,1,steven motlop,Geelong,87
2017,1,matthew boyd,Western Bulldogs,87
2017,1,patrick ryder,Port Adelaide,87
2017,1,wayne milera,Adelaide,87
2017,1,sam naismith,Sydney,87
2017,1,daniel menzel,Geelong,87
2017,1,thomas jonas,Port Adelaide,87
2017,1,lewis taylor,Brisbane Lions,86
2017,1,danyle pearce,Fremantle,85
2017,1,garrick ibbotson,Fremantle,85
2017,1,brodie smith,Adelaide,85
2017,1,luke dahlhaus,Western Bulldogs,85
2017,1,ben brown,North Melbourne,85
2017,1,william langford,Hawthorn,84
2017,1,charlie dixon,Port Adelaide,84
2017,1,eddie betts,Adelaide,84
2017,1,andrew mcgrath,Essendon,83
2017,1,lachie neale,Fremantle,83
2017,1,angus brayshaw,Melbourne,83
2017,1,jared polec,Port Adelaide,83
2017,1,chris masten,West Coast,83
