year,round,player,team,score
2021,1,Travis Boak,Power,160
2021,1,Dustin Martin,Tigers,158
2021,1,Callum Mills,Swans,154
2021,1,Taylor Walker,Crows,146
2021,1,Jack Bowes,Suns,146
2021,1,Matthew Flynn,Giants,140
2021,1,Errol Gulden,Swans,139
2021,1,Tom Mitchell,Hawks,135
2021,1,Andrew McGrath,Bombers,133
2021,1,Jake Lever,Demons,129
2021,1,Andrew Brayshaw,Dockers,125
2021,1,Jordan Ridley,Bombers,125
2021,1,Bailey Smith,Bulldogs,123
2021,1,Tom Hickey,Swans,123
2021,1,Clayton Oliver,Demons,122
2021,1,Adam Cerra,Dockers,122
2021,1,Will Day,Hawks,122
2021,1,Sam Walsh,Blues,122
2021,1,Bailey Williams,Bulldogs,121
2021,1,Jack Graham,Tigers,120
2021,1,David Swallow,Suns,119
2021,1,Darcy Moore,Magpies,119
2021,1,Rory Sloane,Crows,119
2021,1,Shannon Hurn,Eagles,118
2021,1,Jackson Macrae,Bulldogs,118
2021,1,Steven May,Demons,117
2021,1,Tom Barrass,Eagles,117
2021,1,James Rowbottom,Swans,117
2021,1,Isaac Heeney,Swans,115
2021,1,Adam Saad,Blues,114
2021,1,Tim Kelly,Eagles,114
2021,1,Luke Davies-Uniacke,Kangaroos,114
2021,1,Jack Billings,Saints,114
2021,1,Dayne Zorko,Lions,114
2021,1,Thomas Stewart,Cats,113
2021,1,Josh Dunkley,Bulldogs,113
2021,1,Hunter Clark,Saints,113
2021,1,Jack Ziebell,Kangaroos,113
2021,1,Tom Lynch,Crows,112
2021,1,Jaidyn Stephenson,Kangaroos,112
2021,1,Brandan Parfitt,Cats,111
2021,1,Shane Edwards,Tigers,111
2021,1,Jacob Hopper,Giants,110
2021,1,Callan Ward,Giants,110
2021,1,Karl Amon,Power,110
2021,1,Oscar McInerney,Lions,109
2021,1,Nathan Fyfe,Dockers,109
2021,1,Todd Goldstein,Kangaroos,109
2021,1,Jack Newnes,Blues,109
2021,1,Charlie Spargo,Demons,108
2021,1,Thomas Liberatore,Bulldogs,108
2021,1,Tim Membrey,Saints,108
2021,1,Caleb Daniel,Bulldogs,107
2021,1,Tim Taranto,Giants,107
2021,1,Brayden Maynard,Magpies,106
2021,1,Ed Langdon,Demons,105
2021,1,Zachary Merrett,Bombers,105
2021,1,Dylan Shiel,Bombers,104
2021,1,Cameron Guthrie,Cats,104
2021,1,James Rowe,Crows,104
2021,1,Harry Perryman,Giants,104
2021,1,Rory Laird,Crows,102
2021,1,Scott Pendlebury,Magpies,102
2021,1,Jack Lukosius,Suns,102
2021,1,Caleb Serong,Dockers,101
2021,1,Jaeger O'Meara,Hawks,101
2021,1,Joel Selwood,Cats,101
2021,1,Jarryd Lyons,Lions,100
2021,1,Tom Cole,Eagles,100
2021,1,Jayden Short,Tigers,100
2021,1,Lachlan Hunter,Bulldogs,100
2021,1,Darcy Parish,Bombers,99
2021,1,Dougal Howard,Saints,99
2021,1,Oscar Allen,Eagles,98
2021,1,Laitham Vandermeer,Bulldogs,98
2021,1,Jake Lloyd,Swans,98
2021,1,Joshua Kelly,Giants,98
2021,1,Christian Petracca,Demons,98
2021,1,Zak Butters,Power,98
2021,1,Dominic Sheed,Eagles,98
2021,1,Liam Shiels,Hawks,97
2021,1,Tom Doedee,Crows,97
2021,1,Dylan Moore,Hawks,97
2021,1,Oliver Florent,Swans,97
2021,1,Samuel Collins,Suns,97
2021,1,Harry Morrison,Hawks,96
2021,1,Ryan Burton,Power,96
2021,1,Timothy English,Bulldogs,96
2021,1,Patrick Lipinski,Bulldogs,95
2021,1,Sam Switkowski,Dockers,95
2021,1,Tom McDonald,Demons,94
2021,1,Scott Lycett,Power,94
2021,1,Edward Curnow,Blues,94
2021,1,Orazio Fantasia,Power,94
2021,1,Stefan Martin,Bulldogs,94
2021,1,Sam Docherty,Blues,94
2021,1,Bailey Scott,Kangaroos,93
2021,1,Harrison Himmelberg,Giants,93
2021,1,Jack Riewoldt,Tigers,93
2021,1,Max Gawn,Demons,93
2021,1,Marcus Bontempelli,Bulldogs,92
2021,1,Steven Motlop,Power,92
2021,1,Sam Frost,Hawks,92
2021,1,Patrick Dangerfield,Cats,92
2021,1,Jeremy McGovern,Eagles,91
2021,1,Jack Steele,Saints,91
2021,1,Lachlan Sholl,Crows,91
2021,1,John Noble,Magpies,90
2021,1,Blake Hardwick,Hawks,90
2021,1,Tom Phillips,Hawks,90
2021,1,Billy Frampton,Crows,89
2021,1,Oleg Markov,Suns,89
2021,1,Ben McEvoy,Hawks,89
2021,1,Nick Haynes,Giants,89
2021,1,Dyson Heppell,Bombers,89
2021,1,Ben Keays,Crows,89
2021,1,Patrick Cripps,Blues,88
2021,1,Charlie Dixon,Power,88
2021,1,Harry Schoenberg,Crows,88
2021,1,Logan McDonald,Swans,88
2021,1,Wil Powell,Suns,88
2021,1,Stephen Coniglio,Giants,88
2021,1,Hayden Young,Dockers,88
2021,1,Taylor Duryea,Bulldogs,88
2021,1,Jy Simpkin,Kangaroos,87
2021,1,Sebastian Ross,Saints,87
2021,1,Shaun Atley,Kangaroos,87
2021,1,Charlie Ballard,Suns,87
2021,1,Jonathon Ceglar,Hawks,86
2021,1,Toby Greene,Giants,86
2021,1,Nicholas Naitanui,Eagles,86
2021,1,Lachie Young,Kangaroos,85
2021,1,Alex Keath,Bulldogs,85
2021,1,Mark Blicavs,Cats,85
2021,1,Lincoln McCarthy,Lions,85
2021,1,Jamie Cripps,Eagles,85
2021,1,Shai Bolton,Tigers,85
2021,1,Marc Pittonet,Blues,85
2021,1,Luke Ryan,Dockers,84
2021,1,Jack Crisp,Magpies,84
2021,1,Matthew Taberner,Dockers,84
2021,1,Jeremy Howe,Magpies,83
2021,1,Willem Drew,Power,83
2021,1,Paul Seedsman,Crows,83
2021,1,Luke Parker,Swans,83
2021,1,Robbie Gray,Power,82
2021,1,Adam Tomlinson,Demons,82
2021,1,Will Setterfield,Blues,82
2021,1,Dan Houston,Power,82
2021,1,Dion Prestia,Tigers,82
2021,1,Jack Sinclair,Saints,82
2021,1,Tom Atkins,Cats,82
2021,1,Jade Gresham,Saints,82
2021,1,Oliver Wines,Power,81
2021,1,Isaac Cumming,Giants,81
2021,1,Tom Clurey,Power,81
2021,1,Jordan Clark,Cats,80
2021,1,Luke Breust,Hawks,80
2021,1,Shaun Higgins,Cats,80
2021,1,Touk Miller,Suns,80
2021,1,Ben Long,Saints,79
2021,1,Jordan Dawson,Swans,79
2021,1,Jack Madgen,Magpies,79
2021,1,Tom Papley,Swans,79
2021,1,Jack Darling,Eagles,78
2021,1,Jack Redden,Eagles,78
2021,1,Devon Smith,Bombers,78
2021,1,Lachlan Fogarty,Blues,78
2021,1,James Jordon,Demons,78
2021,1,Jack Higgins,Saints,77
2021,1,Nick Hind,Bombers,77
2021,1,Lachie Neale,Lions,77
2021,1,Michael Gibbons,Blues,77
2021,1,Sam Reid Injured,Swans,76
2021,1,Mark O'Connor,Cats,76
2021,1,Toby Nankervis,Tigers,76
2021,1,Angus Brayshaw,Demons,76
2021,1,Josh Caddy,Tigers,76
2021,1,Sam Draper,Bombers,76
2021,1,Jarrod Witts,Suns,75
2021,1,Dane Rampe,Swans,75
2021,1,Sam Wicks,Swans,75
2021,1,Noah Balta,Tigers,75
2021,1,Rhys Stanley,Cats,75
2021,1,Harris Andrews,Lions,74
