year,round,displayName,team,score
2014,1,Jobe Watson,Essendon,157
2014,1,Joel Selwood,Geelong,157
2014,1,Adam Treloar,Greater Western Sydney,154
2014,1,Clinton Jones,St Kilda,152
2014,1,Oliver Wines,Port Adelaide,145
2014,1,Dion Prestia,Gold Coast,144
2014,1,Mark Lecras,West Coast,144
2014,1,Nathan Jones,Melbourne,142
2014,1,Luke Breust,Hawthorn,140
2014,1,Gary Ablett,Gold Coast,140
2014,1,Brendon Goddard,Essendon,139
2014,1,Dayne Beams,Collingwood,136
2014,1,Brett Deledio,Richmond,136
2014,1,David Swallow,Gold Coast,135
2014,1,Nick Riewoldt,St Kilda,133
2014,1,Michael Barlow,Fremantle,132
2014,1,Shane Mumford,Greater Western Sydney,132
2014,1,Callan Ward,Greater Western Sydney,131
2014,1,Matthew Rosa,West Coast,128
2014,1,Scott Pendlebury,Collingwood,127
2014,1,Aaron Sandilands,Fremantle,127
2014,1,Paul Chapman,Essendon,124
2014,1,Nathan Fyfe,Fremantle,122
2014,1,Danyle Pearce,Fremantle,122
2014,1,Marc Murphy,Carlton,122
2014,1,Dayne Zorko,Brisbane Lions,121
2014,1,Matt Thomas,Richmond,121
2014,1,Cale Hooker,Essendon,121
2014,1,David Ellard,Carlton,120
2014,1,Grant Birchall,Hawthorn,120
2014,1,Justin Westhoff,Port Adelaide,119
2014,1,Sean Dempster,St Kilda,118
2014,1,Trent Cotchin,Richmond,118
2014,1,Robert Murphy,Western Bulldogs,118
2014,1,Jarryd Roughead,Hawthorn,117
2014,1,Jaeger O'Meara,Gold Coast,117
2014,1,Steve Johnson,Geelong,116
2014,1,Jimmy Bartel,Geelong,115
2014,1,Dean Cox,West Coast,115
2014,1,Edward Curnow,Carlton,115
2014,1,Ben Howlett,Essendon,114
2014,1,Dyson Heppell,Essendon,114
2014,1,Scott Selwood,West Coast,114
2014,1,Jackson Macrae,Western Bulldogs,113
2014,1,Sam Jacobs,Adelaide,113
2014,1,Josh Saunders,St Kilda,112
2014,1,Tom Langdon,Collingwood,111
2014,1,Dom Tyson,Melbourne,111
2014,1,Kane Cornes,Port Adelaide,111
2014,1,Matthew Boyd,Western Bulldogs,110
2014,1,Farren Ray,St Kilda,110
2014,1,Ben McEvoy,Hawthorn,110
2014,1,Andrew Mackie,Geelong,109
2014,1,Robbie Gray,Port Adelaide,109
2014,1,Greg Broughton,Gold Coast,109
2014,1,Stephen Coniglio,Greater Western Sydney,108
2014,1,Liam Shiels,Hawthorn,108
2014,1,Matthew Jaensch,Adelaide,107
2014,1,Bernie Vince,Melbourne,107
2014,1,Patrick Dangerfield,Adelaide,107
2014,1,Mathew Stokes,Geelong,107
2014,1,Jared Polec,Port Adelaide,107
2014,1,Shaun Hampson,Richmond,107
2014,1,Jack Darling,West Coast,106
2014,1,Matthew De Boer,Fremantle,106
2014,1,Jay Schulz,Port Adelaide,106
2014,1,Andrew Gaff,West Coast,105
2014,1,Kade Simpson,Carlton,105
2014,1,James Gwilt,St Kilda,105
2014,1,Matthew Priddis,West Coast,105
2014,1,Luke Ball,Collingwood,105
2014,1,David Myers,Essendon,105
2014,1,Tendai Mzungu,Fremantle,105
2014,1,Jake Spencer,Melbourne,104
2014,1,Michael Johnson,Fremantle,104
2014,1,Brad Ebert,Port Adelaide,104
2014,1,Tom Scully,Greater Western Sydney,104
2014,1,Rory Sloane,Adelaide,103
2014,1,Shaun Burgoyne,Hawthorn,103
2014,1,Jackson Merrett,Essendon,102
2014,1,Josh Hunt,Greater Western Sydney,102
2014,1,James Kelly,Geelong,102
2014,1,Dustin Martin,Richmond,102
2014,1,Lindsay Thomas,North Melbourne,101
2014,1,Chad Wingard,Port Adelaide,100
2014,1,Luke Dunstan,St Kilda,100
2014,1,Jack Grimes,Melbourne,100
2014,1,Eric MacKenzie,West Coast,100
2014,1,Trent West,Brisbane Lions,100
2014,1,Shannon Hurn,West Coast,99
2014,1,Sam Mayes,Brisbane Lions,99
2014,1,Bryce Gibbs,Carlton,99
2014,1,Reece Conca,Richmond,99
2014,1,Luke Hodge,Hawthorn,98
2014,1,Tom Hickey,St Kilda,98
2014,1,Steven May,Gold Coast,98
2014,1,Jarrod Harbrow,Gold Coast,97
2014,1,Jordan Lewis,Hawthorn,97
2014,1,Corey Enright,Geelong,97
2014,1,Nick Dal Santo,North Melbourne,96
2014,1,Bradley Hill,Hawthorn,96
2014,1,Toby Greene,Greater Western Sydney,96
2014,1,Patrick Ryder,Essendon,96
2014,1,Isaac Smith,Hawthorn,96
2014,1,Luke Parker,Sydney,95
2014,1,Liam Picken,Western Bulldogs,95
2014,1,Jeremy Laidler,Sydney,95
2014,1,Tom Rockliff,Brisbane Lions,95
2014,1,Stephen Hill,Fremantle,95
2014,1,Jack Watts,Melbourne,95
2014,1,David Mundy,Fremantle,95
2014,1,Tom Mitchell,Sydney,93
2014,1,Luke Dahlhaus,Western Bulldogs,93
2014,1,Lachlan Hunter,Western Bulldogs,92
2014,1,Heritier Lumumba,Collingwood,92
2014,1,Lynden Dunn,Melbourne,92
2014,1,Cameron Sutcliffe,Fremantle,92
2014,1,Mike Pyke,Sydney,92
2014,1,Ben Cunnington,North Melbourne,92
2014,1,Mitchell Duncan,Geelong,92
2014,1,Jack Hombsch,Port Adelaide,91
2014,1,Rhyce Shaw,Sydney,91
2014,1,Josh Kennedy Injured,Sydney,91
2014,1,Michael Rischitelli,Gold Coast,91
2014,1,Aaron Mullett,North Melbourne,90
2014,1,Jonathon Patton,Greater Western Sydney,90
2014,1,Jamie MacMillan,North Melbourne,90
2014,1,Todd Goldstein,North Melbourne,89
2014,1,Hamish Hartlett,Port Adelaide,89
2014,1,Nick Haynes,Greater Western Sydney,89
2014,1,Dane Swan,Collingwood,89
2014,1,David Hale,Hawthorn,89
2014,1,Jack Gunston,Hawthorn,89
2014,1,Mitchell Brown,Geelong,88
2014,1,Scott Thompson,North Melbourne,88
2014,1,Sharrod Wellingham,West Coast,88
2014,1,Adam Kennedy,Greater Western Sydney,88
2014,1,Lachie Whitfield,Greater Western Sydney,88
2014,1,Heath Grundy,Sydney,87
2014,1,Brent Stanton,Essendon,86
2014,1,Jack Newnes,St Kilda,86
2014,1,Sam Kerridge,Adelaide,86
2014,1,Nick Malceski,Sydney,86
2014,1,Ben McGlynn,Sydney,85
2014,1,David Zaharakis,Essendon,85
2014,1,Heath Shaw,Greater Western Sydney,85
2014,1,Jonathan Brown,Brisbane Lions,85
2014,1,Sam Mitchell,Hawthorn,84
2014,1,Michael Hibberd,Essendon,84
2014,1,Ryan Lester,Brisbane Lions,84
2014,1,Jonathan Simpkin,Hawthorn,84
2014,1,Matthew Wright,Adelaide,84
2014,1,Mark Baguley,Essendon,83
2014,1,Michael Hurley,Essendon,83
2014,1,Jack Redden,Brisbane Lions,82
2014,1,Brandon Matera,Gold Coast,82
2014,1,Jarrad McVeigh,Sydney,82
2014,1,Hayden Ballantyne,Fremantle,81
2014,1,Alex Rance,Richmond,81
2014,1,Josh Caddy,Geelong,81
2014,1,Shannon Byrnes,Melbourne,81
2014,1,Hamish McIntosh,Geelong,80
2014,1,Danny Stanley,Gold Coast,80
2014,1,Jack Trengove,Melbourne,80
2014,1,Matthew Pavlich,Fremantle,80
2014,1,Jackson Trengove,Port Adelaide,80
2014,1,Stewart Crameri,Western Bulldogs,80
2014,1,Brodie Grundy,Collingwood,80
2014,1,Daniel Rich,Brisbane Lions,79
2014,1,Thomas Liberatore,Western Bulldogs,79
2014,1,Matthew Leuenberger,Brisbane Lions,79
2014,1,Jake Carlisle,Essendon,78
2014,1,Brodie Smith,Adelaide,78
2014,1,Curtly Hampton,Greater Western Sydney,78
2014,1,Ted Richards,Sydney,78
2014,1,Eddie Betts,Adelaide,78
2014,1,Ricky Petterd,Richmond,77
2014,1,Matt Jones,Melbourne,77
2014,1,Jeremy Cameron,Greater Western Sydney,77
2014,1,William Langford,Hawthorn,77
2014,1,Cameron Guthrie,Geelong,76
2014,1,Shane Edwards,Richmond,76
2014,1,Angus Monfries,Port Adelaide,76
2014,1,James Frawley,Melbourne,76
2014,1,Matthew Lobbe,Port Adelaide,76
2014,1,Jack Frost,Collingwood,76
2014,1,Luke Shuey,West Coast,75
2014,1,Elliot Yeo,West Coast,75
2014,1,Harry Taylor,Geelong,75
2014,1,Thomas Curren,St Kilda,75
2014,1,Darren Glass,West Coast,74
2014,1,Brent Harvey,North Melbourne,74
2014,1,Taylor Duryea,Hawthorn,74
2014,1,Matthew Watson,Carlton,74
2014,1,Shaun Grigg,Richmond,74
2014,1,Andrejs Everitt,Carlton,74
2014,1,Nick Vlastuin,Richmond,74
2014,1,Dean Terlich,Melbourne,73
2014,1,Tom Lynch,Gold Coast,73
2014,1,Jarrad Waite,Carlton,73
2014,1,Steele Sidebottom,Collingwood,73
2014,1,Kyle Hardingham,Essendon,73
2014,1,Joshua Green,Brisbane Lions,73
