year,round,player,team,score
2012,1,Brent Stanton,Bombers,153
2012,1,Gary Ablett,Suns,136
2012,1,Scott Thompson,Crows,135
2012,1,Scott Pendlebury,Magpies,132
2012,1,Tom Rockliff,Lions,130
2012,1,Sam Mitchell,Hawks,130
2012,1,Lance Franklin,Hawks,130
2012,1,Brad Ebert,Power,129
2012,1,Simon Black,Lions,128
2012,1,Patrick Ryder,Bombers,128
2012,1,Craig Bird,Swans,127
2012,1,Matthew Rosa,Eagles,127
2012,1,Jed Adcock,Lions,125
2012,1,Rory Sloane,Crows,125
2012,1,Nathan Fyfe,Dockers,124
2012,1,Trent Cotchin,Tigers,120
2012,1,Pearce Hanley,Lions,120
2012,1,Jack Steven,Saints,119
2012,1,Grant Birchall,Hawks,118
2012,1,Marc Murphy,Blues,116
2012,1,Adam Kennedy,Giants,116
2012,1,Matthew Boyd,Bulldogs,116
2012,1,Kieren Jack,Swans,115
2012,1,Nick Dal Santo,Saints,115
2012,1,Kurt Tippett,Crows,114
2012,1,Joel Selwood,Cats,114
2012,1,Chad Cornes,Giants,111
2012,1,Jobe Watson,Bombers,110
2012,1,Luke Ball,Magpies,110
2012,1,Lindsay Thomas,Kangaroos,110
2012,1,Jimmy Bartel,Cats,110
2012,1,Richard Douglas,Crows,109
2012,1,Hamish Hartlett,Power,109
2012,1,Nathan Van Berlo,Crows,108
2012,1,Thomas Liberatore,Bulldogs,107
2012,1,Callan Ward,Giants,107
2012,1,Dean Cox,Eagles,107
2012,1,Andrew Carrazzo,Blues,106
2012,1,Jack Trengove,Demons,105
2012,1,Paul Chapman,Cats,105
2012,1,Matthew Suckling,Hawks,105
2012,1,Jared Brennan,Suns,104
2012,1,Bryce Gibbs,Blues,104
2012,1,James Magner,Demons,103
2012,1,Dane Swan,Magpies,102
2012,1,James Kelly,Cats,101
2012,1,Kade Simpson,Blues,101
2012,1,David Zaharakis,Bombers,100
2012,1,Quinten Lynch,Eagles,99
2012,1,Toby Greene,Giants,99
2012,1,Ian Callinan,Crows,99
2012,1,Joshua Kennedy,Eagles,99
2012,1,Lewis Jetta,Swans,99
2012,1,Scott Selwood,Eagles,98
2012,1,Taylor Walker,Crows,98
2012,1,James McDonald,Giants,98
2012,1,Sam Jacobs,Crows,98
2012,1,Rhys Palmer,Giants,98
2012,1,Will Minson,Bulldogs,97
2012,1,Tomas Bugg,Giants,97
2012,1,Daniel Giansiracusa,Bulldogs,97
2012,1,Brad Sewell,Hawks,97
2012,1,Matthew De Boer,Dockers,97
2012,1,James Polkinghorne,Lions,97
2012,1,Jude Bolton,Swans,97
2012,1,Kane Cornes,Power,97
2012,1,Brendon Goddard,Saints,96
2012,1,Jarryd Blair,Magpies,96
2012,1,John McCarthy,Power,96
2012,1,Matthew Kreuzer,Blues,96
2012,1,Tendai Mzungu,Dockers,96
2012,1,Matthew Priddis,Eagles,95
2012,1,Brendan Whitecross,Hawks,95
2012,1,Cheynee Stiller,Lions,95
2012,1,Darren Jolly,Magpies,94
2012,1,Josh Kennedy Injured,Swans,94
2012,1,Chris Judd,Blues,93
2012,1,David Hille,Bombers,93
2012,1,Dale Thomas,Magpies,93
2012,1,Travis Cloke,Magpies,93
2012,1,Jack Darling,Eagles,92
2012,1,Luke Dahlhaus,Bulldogs,92
2012,1,Dennis Armfield,Blues,92
2012,1,Brent Reilly,Crows,91
2012,1,Brett Deledio,Tigers,91
2012,1,Shaun Higgins,Bulldogs,91
2012,1,Shane Mumford,Swans,91
2012,1,Hayden Ballantyne,Dockers,91
2012,1,Lenny Hayes,Saints,91
2012,1,Daniel Wells,Kangaroos,91
2012,1,Andrew Mackie,Cats,91
2012,1,Jack Riewoldt,Tigers,91
2012,1,Liam Anthony,Kangaroos,91
2012,1,Aaron Sandilands,Dockers,90
2012,1,David Swallow,Suns,89
2012,1,Patrick Dangerfield,Crows,89
2012,1,Jordan Lewis,Hawks,89
2012,1,Matt Thomas,Power,88
2012,1,Nick Smith,Swans,87
2012,1,Steele Sidebottom,Magpies,87
2012,1,Daniel Cross,Bulldogs,87
2012,1,Heath Grundy,Swans,86
2012,1,Ben McEvoy,Saints,86
2012,1,Andrew Swallow,Kangaroos,86
2012,1,Paul Duffield,Dockers,86
2012,1,Ivan Maric,Tigers,86
2012,1,Nathan Foley,Tigers,86
2012,1,Sam Iles,Suns,85
2012,1,Christopher Yarran,Blues,85
2012,1,Bernie Vince,Crows,85
2012,1,Ted Richards,Swans,85
2012,1,Brent Guerra,Hawks,84
2012,1,Brodie Smith,Crows,84
2012,1,Harley Bennell,Suns,84
2012,1,Garrick Ibbotson,Dockers,84
2012,1,Adam Goodes,Swans,84
2012,1,Matthew Pavlich,Dockers,83
2012,1,Daniel Merrett,Lions,83
2012,1,Nick Malceski,Swans,83
2012,1,Beau Waters,Eagles,83
2012,1,Jake Melksham,Bombers,83
2012,1,Nathan Jones,Demons,82
2012,1,Mark Jamar,Demons,82
2012,1,Claye Beams,Lions,82
2012,1,Scott Thompson,Kangaroos,82
2012,1,Isaac Smith,Hawks,82
2012,1,Jack Redden,Lions,82
2012,1,Mitch Robinson,Blues,82
2012,1,Andy Otten,Crows,81
2012,1,Gary Rohan,Swans,81
2012,1,Michael Rischitelli,Suns,80
2012,1,Ben Howlett,Bombers,80
2012,1,Alex Johnson,Swans,80
2012,1,Michael Johnson,Dockers,80
2012,1,Will Schofield,Eagles,80
2012,1,Steven Motlop,Cats,80
2012,1,James Podsiadly,Cats,80
2012,1,David MacKay,Crows,79
2012,1,Luke Shuey,Eagles,79
2012,1,Graham Johncock,Crows,79
2012,1,Ryan Hargrave,Bulldogs,79
2012,1,Dustin Martin,Tigers,79
2012,1,Shannon Hurn,Eagles,79
2012,1,Adam Cooney,Bulldogs,79
2012,1,Brent Harvey,Kangaroos,79
2012,1,Drew Petrie,Kangaroos,79
2012,1,Cyril Rioli,Hawks,79
2012,1,Heath Scotland,Blues,79
2012,1,Clay Smith,Bulldogs,79
2012,1,Sean Dempster,Saints,78
2012,1,Jack Watts,Demons,78
2012,1,Dion Prestia,Suns,78
2012,1,Josh Caddy,Suns,77
2012,1,Mitchell Golby,Lions,77
2012,1,Jarryn Geary,Saints,77
2012,1,Nick Riewoldt,Saints,77
2012,1,Jonathan Giles,Giants,77
2012,1,Domenic Cassisi,Power,77
2012,1,Curtly Hampton,Giants,77
2012,1,Chris Masten,Eagles,77
2012,1,Sam Gilbert,Saints,77
2012,1,Tom Hawkins,Cats,76
2012,1,Broc McCauley,Hawks,76
2012,1,Edward Curnow,Blues,76
2012,1,Sam Reid Injured,Swans,76
2012,1,Rhys Stanley,Saints,76
2012,1,Dyson Heppell,Bombers,75
2012,1,Matthew Maguire,Lions,75
2012,1,Shaun Hampson,Blues,75
2012,1,Ryan Crowley,Dockers,74
2012,1,Terry Milera,Saints,74
2012,1,Andrew Gaff,Eagles,74
2012,1,Tim Mohr,Giants,74
2012,1,Daniel Stewart,Power,73
2012,1,Luke Russell,Suns,73
2012,1,Mitchell Duncan,Cats,73
2012,1,Zachary Clarke,Dockers,73
2012,1,Jarrad McVeigh,Swans,73
2012,1,Bret Thornton,Blues,73
2012,1,Clinton Jones,Saints,73
2012,1,Joel Corey,Cats,73
2012,1,Jordie McKenzie,Demons,72
2012,1,Ben McGlynn,Swans,72
2012,1,Leigh Montagna,Saints,72
2012,1,Michael Osborne,Hawks,71
2012,1,Sam Fisher,Saints,71
2012,1,Nicholas Naitanui,Eagles,71
2012,1,Jack Hombsch,Giants,71
2012,1,Mathew Stokes,Cats,71
2012,1,Campbell Brown,Suns,71
2012,1,Ben Hudson,Lions,71
2012,1,Jay Schulz,Power,71
2012,1,Alex Rance,Tigers,70
2012,1,Will Hoskin-Elliott,Giants,70
2012,1,Alan Toovey,Magpies,70
2012,1,Nicholas Suban,Dockers,69
2012,1,Bachar Houli,Tigers,69
2012,1,Shaun Grigg,Tigers,69
2012,1,Devon Smith,Giants,69
2012,1,Alex Fasolo,Magpies,69
2012,1,Jarrad Redden,Power,68
2012,1,Nial McKeever,Lions,68
2012,1,David Hale,Hawks,68
2012,1,Zac Smith,Suns,68
2012,1,Steve Johnson,Cats,68
2012,1,Leigh Adams,Kangaroos,67
2012,1,Liam Jones,Bulldogs,67
2012,1,Matthew Broadbent,Power,67
2012,1,Christopher Mayne,Dockers,67
2012,1,Stefan Martin,Demons,67
2012,1,Luke McPharlin,Dockers,67
2012,1,Jason Blake,Saints,66
2012,1,Joel Macdonald,Demons,66
2012,1,Jack Grimes,Demons,66
2012,1,Michael Doughty,Crows,65
2012,1,James Frawley,Demons,65
2012,1,Shaun Burgoyne,Hawks,65
2012,1,Daniel Rich,Lions,65
2012,1,Michael Hibberd,Bombers,65
2012,1,Stewart Crameri,Bombers,65
2012,1,Angus Monfries,Bombers,65
2012,1,Robert Murphy,Bulldogs,65
2012,1,Kieran Harper,Kangaroos,64
2012,1,Michael Firrito,Kangaroos,64
2012,1,Matthew Leuenberger,Lions,64
2012,1,David Myers,Bombers,64
2012,1,Brad Green,Demons,64
2012,1,Andrejs Everitt,Swans,64
2012,1,Jacob Surjan,Power,64
2012,1,Chris Newman,Tigers,63
2012,1,Chris Dawes,Magpies,63
2012,1,Jarrod Harbrow,Suns,63
2012,1,Courtenay Dempsey,Bombers,63
2012,1,Shane Savage,Hawks,63
2012,1,Jared Polec,Lions,63
2012,1,Karmichael Hunt,Suns,63
2012,1,Todd Banfield,Lions,62
2012,1,Phil Davis,Giants,62
2012,1,Liam Picken,Bulldogs,62
2012,1,Jeremy Laidler,Blues,62
2012,1,Travis Boak,Power,62
2012,1,Martin Mattner,Swans,62
2012,1,Daniel Jackson,Tigers,62
2012,1,Martin Clarke,Magpies,61
2012,1,Cameron Guthrie,Cats,61
2012,1,Nathan Lovett-Murray,Bombers,61
2012,1,Lachlan Henderson,Blues,60
2012,1,Cameron O'Shea,Power,60
2012,1,Stephen Hill,Dockers,60
2012,1,Brett Peake,Saints,60
2012,1,Ryan Bastinac,Kangaroos,60
2012,1,Jarrad Waite,Blues,60
2012,1,Mitchell Clark,Demons,60
2012,1,Greg Broughton,Dockers,59
2012,1,Aaron Edwards,Kangaroos,59
2012,1,Luke Breust,Hawks,59
2012,1,Dean Polo,Saints,59
2012,1,Jason Porplyzia,Crows,58
2012,1,Jared Petrenko,Crows,58
2012,1,Paul Bower,Blues,58
2012,1,Mitchell Wallis,Bulldogs,58
2012,1,Stephen Milne,Saints,58
2012,1,Troy Chaplin,Power,58
2012,1,Leroy Jetta,Bombers,58
2012,1,Joel Patfull,Lions,58
2012,1,Michael Hurley,Bombers,58
2012,1,Samuel Wright,Kangaroos,58
2012,1,Scott McMahon,Kangaroos,57
2012,1,Justin Westhoff,Power,57
2012,1,Adam Selwood,Eagles,57
2012,1,Zach Tuohy,Blues,57
2012,1,Heath Shaw,Magpies,56
2012,1,Hamish McIntosh,Kangaroos,56
2012,1,Daniel Talia,Crows,56
2012,1,Todd Goldstein,Kangaroos,56
2012,1,Josh Hill,Eagles,56
2012,1,Jeff Garlett,Blues,56
2012,1,Kepler Bradley,Dockers,56
2012,1,Paul Stewart,Power,55
2012,1,David Armitage,Saints,55
2012,1,Luke Parker,Swans,55
2012,1,Aaron Hall,Suns,55
2012,1,Josh Mellington,Dockers,55
2012,1,Adam Tomlinson,Giants,54
2012,1,Chad Wingard,Power,54
2012,1,Josh Gibson,Hawks,54
2012,1,Ben Cunnington,Kangaroos,53
2012,1,Stephen Coniglio,Giants,53
2012,1,Jeremy Howe,Demons,53
2012,1,Luke Rounds,Magpies,53
2012,1,Rohan Bail,Demons,52
2012,1,Ben Sinclair,Magpies,52
2012,1,Dylan Addison,Bulldogs,52
2012,1,Michael Barlow,Dockers,52
2012,1,Ashley McGrath,Lions,52
2012,1,Aaron Davey,Demons,51
2012,1,Colin Garland,Demons,51
2012,1,Harry Taylor,Cats,51
2012,1,Shaun Atley,Kangaroos,51
2012,1,Dustin Fletcher,Bombers,51
2012,1,Billie Smedts,Cats,50
2012,1,Ryan Lester,Lions,49
2012,1,Andrew Embley,Eagles,49
2012,1,Robin Nahas,Tigers,49
2012,1,Jamie Cripps,Saints,48
2012,1,Shane Edwards,Tigers,48
2012,1,Clint Bartram,Demons,48
2012,1,Trent West,Cats,48
2012,1,Easton Wood,Bulldogs,48
2012,1,Ben Rutten,Crows,48
2012,1,Rohan Bewick,Lions,47
2012,1,Shane Tuck,Tigers,47
2012,1,Tyson Goldsack,Magpies,47
2012,1,Jordan Roughead,Bulldogs,47
2012,1,Justin Koschitzke,Saints,46
2012,1,Josh Tynan,Demons,46
2012,1,Aaron Mullett,Kangaroos,46
2012,1,Heritier Lumumba,Magpies,46
2012,1,Lewis Roberts-Thomson,Swans,46
2012,1,Addam Maric,Tigers,45
2012,1,Dylan Grimes,Tigers,45
2012,1,Ashton Hams,Eagles,45
2012,1,Brad Miller,Tigers,45
2012,1,Matthew Scarlett,Cats,45
2012,1,Taylor Hunt,Cats,45
2012,1,Ben Reid,Magpies,45
2012,1,Benjamin Stratton,Hawks,44
2012,1,Daniel Hannebery,Swans,44
2012,1,Steven May,Suns,43
2012,1,Matt Campbell,Kangaroos,43
2012,1,Eddie Betts,Blues,43
2012,1,Tom Lonergan,Cats,42
2012,1,Jacob Townsend,Giants,42
2012,1,Brent Moloney,Demons,41
2012,1,Tom Hickey,Suns,41
2012,1,Jack Gunston,Hawks,41
2012,1,Christian Howard,Bulldogs,40
2012,1,Brandon Matera,Suns,40
2012,1,Adam McPhee,Dockers,40
2012,1,Jackson Paine,Magpies,40
2012,1,Tayte Pears,Bombers,40
2012,1,Jamie MacMillan,Kangaroos,40
2012,1,Ashley Smith,Eagles,40
2012,1,Tom Lynch,Suns,40
2012,1,Jeremy Cameron,Giants,39
2012,1,Zac Dawson,Dockers,39
2012,1,Kane Lucas,Blues,39
2012,1,Corey Enright,Cats,38
2012,1,Chance Bateman,Hawks,38
2012,1,Tom Lynch,Crows,38
2012,1,Sebastian Tape,Suns,38
2012,1,Brandon Ellis,Tigers,38
2012,1,Cale Hooker,Bombers,37
2012,1,Tory Dickson,Bulldogs,37
2012,1,Alipate Carlile,Power,37
2012,1,John Butcher,Power,37
2012,1,Nathan Wilson,Giants,36
2012,1,Tyrone Vickery,Tigers,36
2012,1,Daniel Gorringe,Suns,36
2012,1,Dylan Shiel,Giants,36
2012,1,Reece Conca,Tigers,35
2012,1,Danyle Pearce,Power,35
2012,1,Sam Sheldon,Lions,33
2012,1,Eric MacKenzie,Eagles,33
2012,1,Allen Christensen,Cats,33
2012,1,Ben Jacobs,Power,32
2012,1,Jared Rivers,Demons,32
2012,1,David Rodan,Power,32
2012,1,Jarrad Grant,Bulldogs,32
2012,1,Lukas Markovic,Bulldogs,31
2012,1,Jayden Post,Tigers,31
2012,1,Jeremy Taylor,Suns,30
2012,1,Mark McVeigh,Bombers,30
2012,1,Matthew Bate,Demons,30
2012,1,Brian Lake,Bulldogs,29
2012,1,Ryan Schoenmakers,Hawks,29
2012,1,Ricky Henderson,Crows,28
2012,1,Steven Morris,Tigers,27
2012,1,Darren Glass,Eagles,26
2012,1,Dom Tyson,Giants,25
2012,1,Daniel Kerr,Eagles,24
2012,1,Jordan Russell,Blues,23
2012,1,Robbie Tarrant,Kangaroos,23
2012,1,Israel Folau,Giants,22
2012,1,Lachlan Keeffe,Magpies,22
2012,1,Orren Stephenson,Cats,22
2012,1,Sam Blease,Demons,20
2012,1,Harry Cunningham,Swans,19
2012,1,Jarrad Boumann,Hawks,18
2012,1,Paul Seedsman,Magpies,17
2012,1,Matthew Warnock,Suns,17
2012,1,Clancee Pearce,Dockers,16
2012,1,Kyle Hardingham,Bombers,16
2012,1,Heath Hocking,Bombers,10
