year,round,player,team,score
2020,1,Jack Viney,Demons,186
2020,1,Ben Cunnington,Kangaroos,185
2020,1,Brodie Grundy,Magpies,179
2020,1,Dylan Shiel,Bombers,163
2020,1,Lachie Neale,Lions,157
2020,1,Jeremy Howe,Magpies,156
2020,1,Isaac Heeney,Swans,152
2020,1,Shannon Hurn,Eagles,152
2020,1,Todd Goldstein,Kangaroos,136
2020,1,Sam Jacobs,Giants,134
2020,1,Rory Lobb,Dockers,133
2020,1,Harry Perryman,Giants,132
2020,1,Jy Simpkin,Kangaroos,131
2020,1,Chad Wingard,Hawks,131
2020,1,Josh Kennedy Injured,Swans,129
2020,1,Jack Steele,Saints,128
2020,1,Dominic Sheed,Eagles,128
2020,1,Brody Mihocek,Magpies,127
2020,1,Liam Shiels,Hawks,127
2020,1,Shaun Burgoyne,Hawks,126
2020,1,Dustin Martin,Tigers,126
2020,1,Steele Sidebottom,Magpies,125
2020,1,Travis Boak,Power,125
2020,1,Connor Rozee,Power,125
2020,1,Luke Parker,Swans,125
2020,1,Rory Sloane,Crows,123
2020,1,Sam Naismith Injured,Swans,121
2020,1,Jack Billings,Saints,120
2020,1,Ed Langdon,Demons,120
2020,1,Mitchell Duncan,Cats,120
2020,1,Tom Mitchell,Hawks,119
2020,1,Andrew Gaff,Eagles,119
2020,1,Isaac Smith,Hawks,119
2020,1,Dion Prestia,Tigers,118
2020,1,Ben Long,Saints,118
2020,1,Sam Docherty,Blues,117
2020,1,Hugh Greenwood,Suns,116
2020,1,Jarryd Lyons,Lions,115
2020,1,Tom Rockliff,Power,115
2020,1,Hayden Crozier,Bulldogs,115
2020,1,Nick Haynes,Giants,114
2020,1,Darcy Byrne-Jones,Power,114
2020,1,Stephen Coniglio,Giants,114
2020,1,Tom Lynch,Crows,113
2020,1,Andrew McGrath,Bombers,113
2020,1,Luke Breust,Hawks,113
2020,1,Sam Petrevski-Seton,Blues,113
2020,1,Zak Jones,Saints,113
2020,1,Jaeger O'Meara,Hawks,112
2020,1,Taylor Adams,Magpies,112
2020,1,Jacob Hopper,Giants,112
2020,1,Patrick Cripps,Blues,112
2020,1,Touk Miller,Suns,111
2020,1,Zachary Merrett,Bombers,111
2020,1,Adam Saad,Bombers,110
2020,1,Michael Walters,Dockers,110
2020,1,Nathan Fyfe,Dockers,110
2020,1,Scott Pendlebury,Magpies,109
2020,1,Liam Ryan,Eagles,109
2020,1,Lachie Whitfield,Giants,109
2020,1,Toby Greene,Giants,108
2020,1,Christopher Mayne,Magpies,107
2020,1,Jack Martin,Blues,107
2020,1,Reilly O'Brien,Crows,107
2020,1,Bailey Smith,Bulldogs,106
2020,1,Devon Smith,Bombers,105
2020,1,Christian Petracca,Demons,105
2020,1,Sam Powell-Pepper,Power,105
2020,1,Luke Shuey,Eagles,104
2020,1,Levi Casboult,Blues,104
2020,1,Brayden Maynard,Magpies,104
2020,1,Lewis Jetta,Eagles,104
2020,1,Brad Ebert,Power,104
2020,1,Robbie Gray,Power,104
2020,1,Jackson Macrae,Bulldogs,103
2020,1,Tom Hawkins,Cats,103
2020,1,Harris Andrews,Lions,103
2020,1,Shai Bolton,Tigers,102
2020,1,Jacob Weitering,Blues,102
2020,1,Joshua Kelly,Giants,102
2020,1,Jonathon Ceglar,Hawks,101
2020,1,Tom Bellchambers,Bombers,101
2020,1,Ryan Burton,Power,101
2020,1,Daniel Lloyd,Giants,101
2020,1,Marc Murphy,Blues,101
2020,1,Jordan Ridley,Bombers,100
2020,1,Thomas Stewart,Cats,100
2020,1,Nicholas Naitanui,Eagles,100
2020,1,Sam Sturt,Dockers,100
2020,1,Ivan Soldo,Tigers,100
2020,1,Jacob Townsend,Bombers,99
2020,1,Clayton Oliver,Demons,99
2020,1,Daniel Rioli,Tigers,99
2020,1,Oliver Florent,Swans,99
2020,1,Luke Dahlhaus,Cats,98
2020,1,Jared Polec,Kangaroos,98
2020,1,Mitch Robinson,Lions,97
2020,1,Wayne Milera,Crows,96
2020,1,Will Hoskin-Elliott,Magpies,96
2020,1,Brett Bewley,Dockers,95
2020,1,Bradley Sheppard,Eagles,94
2020,1,Darcy Fort,Cats,94
2020,1,Marlion Pickett,Tigers,94
2020,1,Trent Cotchin,Tigers,94
2020,1,Daniel Hannebery,Saints,93
2020,1,Shaun Higgins,Kangaroos,93
2020,1,Jack Bowes,Suns,93
2020,1,Ben Ainsworth,Suns,93
2020,1,Max Gawn,Demons,93
2020,1,James Worpel,Hawks,93
2020,1,Gary Ablett,Cats,93
2020,1,Steven Motlop,Power,93
2020,1,Brad Crouch,Crows,92
2020,1,Caleb Daniel,Bulldogs,92
2020,1,Tom Cutler,Bombers,92
2020,1,David Swallow,Suns,92
2020,1,Karl Amon,Power,92
2020,1,Samuel Collins,Suns,92
2020,1,Luke Dunstan,Saints,92
2020,1,Rowan Marshall,Saints,92
2020,1,Brendon Ah Chee,Eagles,92
2020,1,Tom Barrass,Eagles,92
2020,1,Liam Baker,Tigers,91
2020,1,Mark O'Connor,Cats,91
2020,1,David Astbury,Tigers,90
2020,1,Kane Lambert,Tigers,90
2020,1,Callum Brown,Magpies,89
2020,1,Rory Laird,Crows,88
2020,1,Kyle Langford,Bombers,88
2020,1,Jarryn Geary,Saints,88
2020,1,Reece Conca,Dockers,88
2020,1,Daniel Rich,Lions,87
2020,1,Rory Atkins,Crows,87
2020,1,Mark Blicavs,Cats,86
2020,1,Jayden Short,Tigers,86
2020,1,Tarryn Thomas,Kangaroos,86
2020,1,Eric Hipwood,Lions,86
2020,1,Tim Kelly,Eagles,86
2020,1,Dane Rampe,Swans,86
2020,1,Shane Edwards,Tigers,86
2020,1,Tom Papley,Swans,85
2020,1,Harry Taylor,Cats,85
2020,1,Callum Mills,Swans,85
2020,1,Hugh McCluggage,Lions,85
2020,1,Lachlan Murphy,Crows,85
2020,1,Tom McCartin,Swans,85
2020,1,Lachlan Hunter,Bulldogs,84
2020,1,Jay Lockhart,Demons,84
2020,1,Hunter Clark,Saints,84
2020,1,Jordan Dawson,Swans,84
2020,1,Josh Caddy,Tigers,84
2020,1,Sebastian Ross,Saints,84
2020,1,Jeremy McGovern,Eagles,83
2020,1,Patrick Dangerfield,Cats,83
2020,1,Will Snelling,Bombers,82
2020,1,Quinton Narkle,Cats,82
2020,1,Mason Cox,Magpies,82
2020,1,Kade Simpson,Blues,82
2020,1,Ben Brown,Kangaroos,81
2020,1,Justin McInerney Injured,Swans,81
2020,1,Todd Marshall,Power,80
2020,1,Jamie MacMillan,Kangaroos,80
2020,1,Zac Fisher,Blues,80
2020,1,Matt Rowell,Suns,80
2020,1,Ben McEvoy,Hawks,80
2020,1,Trent Dumont,Kangaroos,80
2020,1,Dan Houston,Power,79
2020,1,Alex Keath,Bulldogs,79
2020,1,Matt Guelfi,Bombers,79
2020,1,Jason Castagna,Tigers,79
2020,1,Daniel Talia,Crows,79
2020,1,Brandon Ellis,Suns,79
2020,1,Trent McKenzie,Power,79
2020,1,Michael Hibberd,Demons,79
2020,1,Mason Redman,Bombers,79
2020,1,Xavier Duursma,Power,79
2020,1,Patrick Ryder,Saints,79
2020,1,Curtis Taylor,Kangaroos,79
2020,1,Callum Wilkie,Saints,79
2020,1,Nick Vlastuin,Tigers,78
2020,1,Mitch Georgiades,Power,78
2020,1,James Harmes,Demons,77
2020,1,Jake Lloyd,Swans,77
2020,1,Bailey Williams,Bulldogs,77
2020,1,Ben Paton,Saints,76
2020,1,Darcy Tucker,Dockers,76
2020,1,Marcus Bontempelli,Bulldogs,76
2020,1,Liam Duggan,Eagles,76
2020,1,Jed Anderson,Kangaroos,75
2020,1,Charlie Cameron,Lions,75
2020,1,Daniel McStay,Lions,75
2020,1,Jake Stringer,Bombers,74
2020,1,Jack Riewoldt,Tigers,74
2020,1,John Noble,Magpies,74
2020,1,Zac Langdon,Giants,74
2020,1,Jack Gunston,Hawks,73
